,Demand
20191102T11Z,5889
20191102T10Z,5520
20191102T09Z,5277
20191102T08Z,5155
20191102T07Z,5119
20191102T06Z,5182
20191102T05Z,5296
20191102T04Z,5514
20191102T03Z,5799
20191102T02Z,5985
20191102T01Z,6093
20191102T00Z,6137
20191101T23Z,5947
20191101T22Z,5684
20191101T21Z,5563
20191101T20Z,5484
20191101T19Z,5502
20191101T18Z,5587
20191101T17Z,5630
20191101T16Z,5742
20191101T15Z,5812
20191101T14Z,5847
20191101T13Z,5868
20191101T12Z,5797
20191101T11Z,5408
20191101T10Z,4725
20191101T09Z,4392
20191101T08Z,4409
20191101T07Z,4565
20191101T06Z,4867
20191101T05Z,5332
20191101T04Z,5966
20191101T03Z,6670
20191101T02Z,7285
20191101T01Z,7603
20191101T00Z,7754
20191031T23Z,7734
20191031T22Z,7992
20191031T21Z,8118
20191031T20Z,8072
20191031T19Z,7902
20191031T18Z,7725
20191031T17Z,7459
20191031T16Z,7240
20191031T15Z,6965
20191031T14Z,6725
20191031T13Z,6524
20191031T12Z,6446
20191031T11Z,6100
20191031T10Z,5319
20191031T09Z,4911
20191031T08Z,4836
20191031T07Z,4844
20191031T06Z,4975
20191031T05Z,5242
20191031T04Z,5614
20191031T03Z,6068
20191031T02Z,6588
20191031T01Z,6930
20191031T00Z,7085
20191030T23Z,7015
20191030T22Z,6784
20191030T21Z,6753
20191030T20Z,6704
20191030T19Z,6688
20191030T18Z,6583
20191030T17Z,6472
20191030T16Z,6359
20191030T15Z,6279
20191030T14Z,6169
20191030T13Z,6090
20191030T12Z,6086
20191030T11Z,5725
20191030T10Z,4762
20191030T09Z,4367
20191030T08Z,4275
20191030T07Z,4299
20191030T06Z,4413
20191030T05Z,4886
20191030T04Z,5240
20191030T03Z,5753
20191030T02Z,6258
20191030T01Z,6647
20191030T00Z,6869
20191029T23Z,6791
20191029T22Z,6533
20191029T21Z,6456
20191029T20Z,6418
20191029T19Z,6395
20191029T18Z,6362
20191029T17Z,6245
20191029T16Z,6146
20191029T15Z,6034
20191029T14Z,5963
20191029T13Z,5883
20191029T12Z,5869
20191029T11Z,5591
20191029T10Z,4887
20191029T09Z,4537
20191029T08Z,4462
20191029T07Z,4523
20191029T06Z,4646
20191029T05Z,4887
20191029T04Z,5295
20191029T03Z,5815
20191029T02Z,6425
20191029T01Z,6913
20191029T00Z,7258
20191028T23Z,7253
20191028T22Z,7266
20191028T21Z,7296
20191028T20Z,7222
20191028T19Z,7038
20191028T18Z,6833
20191028T17Z,6548
20191028T16Z,6313
20191028T15Z,6122
20191028T14Z,5934
20191028T13Z,5805
20191028T12Z,5862
20191028T11Z,5582
20191028T10Z,4932
20191028T09Z,4538
20191028T08Z,4498
20191028T07Z,4594
20191028T06Z,4799
20191028T05Z,5123
20191028T04Z,5587
20191028T03Z,6197
20191028T02Z,6852
20191028T01Z,7364
