,Demand
20191101T07Z,1529
20191101T06Z,1566
20191101T05Z,1627
20191101T04Z,1700
20191101T03Z,1714
20191101T02Z,1681
20191101T01Z,1633
20191101T00Z,1522
20191031T23Z,1487
20191031T22Z,1468
20191031T21Z,1483
20191031T20Z,1502
20191031T19Z,1532
20191031T18Z,1590
20191031T17Z,1658
20191031T16Z,1707
20191031T15Z,1786
20191031T14Z,1840
20191031T13Z,1786
20191031T12Z,1633
20191031T11Z,1552
20191031T10Z,1514
20191031T09Z,1508
20191031T08Z,1499
20191031T07Z,1533
20191031T06Z,1585
20191031T05Z,1675
20191031T04Z,1770
20191031T03Z,1815
20191031T02Z,1804
20191031T01Z,1725
20191031T00Z,1592
20191030T23Z,1521
20191030T22Z,1497
20191030T21Z,1490
20191030T20Z,1488
20191030T19Z,1520
20191030T18Z,1524
20191030T17Z,1559
20191030T16Z,1610
20191030T15Z,1675
20191030T14Z,1702
20191030T13Z,1647
20191030T12Z,1515
20191030T11Z,1420
20191030T10Z,1374
20191030T09Z,1369
20191030T08Z,1379
20191030T07Z,1389
20191030T06Z,1433
20191030T05Z,1518
20191030T04Z,1613
20191030T03Z,1667
20191030T02Z,1688
20191030T01Z,1634
20191030T00Z,1531
20191029T23Z,1498
20191029T22Z,1472
20191029T21Z,1461
20191029T20Z,1451
20191029T19Z,1464
20191029T18Z,1510
20191029T17Z,1555
20191029T16Z,1612
20191029T15Z,1675
20191029T14Z,1712
20191029T13Z,1656
20191029T12Z,1514
20191029T11Z,1427
20191029T10Z,1399
20191029T09Z,1394
20191029T08Z,1411
20191029T07Z,1433
20191029T06Z,1479
20191029T05Z,1562
20191029T04Z,1661
20191029T03Z,1717
20191029T02Z,1722
20191029T01Z,1670
20191029T00Z,1554
20191028T23Z,1499
20191028T22Z,1475
20191028T21Z,1478
20191028T20Z,1481
20191028T19Z,1564
20191028T18Z,1605
20191028T17Z,1611
20191028T16Z,1620
20191028T15Z,1632
20191028T14Z,1615
20191028T13Z,1538
20191028T12Z,1402
20191028T11Z,1310
20191028T10Z,1294
20191028T09Z,1292
20191028T08Z,1302
20191028T07Z,1326
20191028T06Z,1372
20191028T05Z,1460
20191028T04Z,1549
20191028T03Z,1613
20191028T02Z,1641
20191028T01Z,1591
20191028T00Z,1510
20191027T23Z,1441
20191027T22Z,1394
20191027T21Z,1372
20191027T20Z,1367
20191027T19Z,1376
20191027T18Z,1390
20191027T17Z,1403
20191027T16Z,1432
20191027T15Z,1464
20191027T14Z,1454
20191027T13Z,1408
20191027T12Z,1348
20191027T11Z,1324
20191027T10Z,1317
20191027T09Z,1317
20191027T08Z,1336
20191027T07Z,1368
20191027T06Z,1410
20191027T05Z,1485
20191027T04Z,1548
20191027T03Z,1592
20191027T02Z,1612
20191027T01Z,1547
20191027T00Z,1452
20191026T23Z,1421
20191026T22Z,1398
20191026T21Z,1366
20191026T20Z,1379
20191026T19Z,1414
20191026T18Z,1436
20191026T17Z,1438
20191026T16Z,1475
20191026T15Z,1521
20191026T14Z,1540
20191026T13Z,1506
20191026T12Z,1427
20191026T11Z,1381
20191026T10Z,1366
20191026T09Z,1390
20191026T08Z,1379
20191026T07Z,1406
20191026T06Z,1449
20191026T05Z,1521
20191026T04Z,1586
20191026T03Z,1622
20191026T02Z,1611
20191026T01Z,1558
20191026T00Z,1480
20191025T23Z,1434
20191025T22Z,1418
20191025T21Z,1418
20191025T20Z,1422
20191025T19Z,1453
20191025T18Z,1483
20191025T17Z,1532
20191025T16Z,1597
20191025T15Z,1645
20191025T14Z,1691
20191025T13Z,1623
20191025T12Z,1499
20191025T11Z,1425
20191025T10Z,1384
20191025T09Z,1375
20191025T08Z,1378
20191025T07Z,1412
20191025T06Z,1458
20191025T05Z,1544
20191025T04Z,1628
20191025T03Z,1675
20191025T02Z,1677
20191025T01Z,1626
20191025T00Z,1538
20191024T23Z,1509
20191024T22Z,1499
20191024T21Z,1518
20191024T20Z,1541
20191024T19Z,1554
20191024T18Z,1555
20191024T17Z,1571
20191024T16Z,1606
20191024T15Z,1634
20191024T14Z,1639
20191024T13Z,1585
20191024T12Z,1428
20191024T11Z,1349
20191024T10Z,1321
20191024T09Z,1336
20191024T08Z,1358
20191024T07Z,1363
20191024T06Z,1405
20191024T05Z,1490
20191024T04Z,1584
20191024T03Z,1668
20191024T02Z,1672
20191024T01Z,1602
20191024T00Z,1531
20191023T23Z,1503
20191023T22Z,1485
20191023T21Z,1464
20191023T20Z,1449
20191023T19Z,1431
20191023T18Z,1449
20191023T17Z,1461
20191023T16Z,1488
20191023T15Z,1528
20191023T14Z,1557
20191023T13Z,1516
20191023T12Z,1385
20191023T11Z,1324
20191023T10Z,1306
20191023T09Z,1309
20191023T08Z,1326
20191023T07Z,1360
20191023T06Z,1413
20191023T05Z,1491
20191023T04Z,1578
20191023T03Z,1648
20191023T02Z,1615
20191023T01Z,1556
20191023T00Z,1485
20191022T23Z,1447
20191022T22Z,1419
20191022T21Z,1409
20191022T20Z,1404
20191022T19Z,1402
20191022T18Z,1419
20191022T17Z,1438
20191022T16Z,1489
20191022T15Z,1537
20191022T14Z,1585
20191022T13Z,1538
20191022T12Z,1397
20191022T11Z,1321
20191022T10Z,1293
20191022T09Z,1290
20191022T08Z,1304
20191022T07Z,1331
20191022T06Z,1381
20191022T05Z,1470
20191022T04Z,1580
20191022T03Z,1650
20191022T02Z,1655
20191022T01Z,1605
20191022T00Z,1519
20191021T23Z,1466
20191021T22Z,1430
20191021T21Z,1430
20191021T20Z,1432
20191021T19Z,1429
20191021T18Z,1450
20191021T17Z,1477
20191021T16Z,1515
20191021T15Z,1575
20191021T14Z,1603
20191021T13Z,1569
20191021T12Z,1374
20191021T11Z,1335
20191021T10Z,1324
20191021T09Z,1332
20191021T08Z,1338
20191021T07Z,1354
20191021T06Z,1414
20191021T05Z,1502
20191021T04Z,1588
20191021T03Z,1652
20191021T02Z,1660
20191021T01Z,1581
20191021T00Z,1493
20191020T23Z,1453
20191020T22Z,1435
20191020T21Z,1408
20191020T20Z,1400
20191020T19Z,1404
20191020T18Z,1363
20191020T17Z,1414
20191020T16Z,1446
20191020T15Z,1436
20191020T14Z,1397
20191020T13Z,1374
20191020T12Z,1332
20191020T11Z,1306
20191020T10Z,1296
20191020T09Z,1310
20191020T08Z,1331
20191020T07Z,1360
20191020T06Z,1408
20191020T05Z,1476
20191020T04Z,1557
20191020T03Z,1594
20191020T02Z,1598
20191020T01Z,1501
20191020T00Z,1440
20191019T23Z,1405
20191019T22Z,1366
20191019T21Z,1338
20191019T20Z,1323
20191019T19Z,1335
20191019T18Z,1351
20191019T17Z,1373
20191019T16Z,1405
20191019T15Z,1427
20191019T14Z,1426
20191019T13Z,1389
20191019T12Z,1330
20191019T11Z,1295
20191019T10Z,1280
20191019T09Z,1293
20191019T08Z,1318
20191019T07Z,1348
20191019T06Z,1389
20191019T05Z,1460
20191019T04Z,1549
20191019T03Z,1594
20191019T02Z,1597
20191019T01Z,1564
20191019T00Z,1535
20191018T23Z,1513
20191018T22Z,1533
20191018T21Z,1519
20191018T20Z,1541
20191018T19Z,1536
20191018T18Z,1508
20191018T17Z,1489
20191018T16Z,1475
20191018T15Z,1472
20191018T14Z,1471
20191018T13Z,1426
20191018T12Z,1313
20191018T11Z,1271
20191018T10Z,1258
20191018T09Z,1267
20191018T08Z,1284
20191018T07Z,1317
20191018T06Z,1366
20191018T05Z,1533
20191018T04Z,1568
20191018T03Z,1636
20191018T02Z,1650
20191018T01Z,1580
20191018T00Z,1532
20191017T23Z,1525
20191017T22Z,1507
20191017T21Z,1476
20191017T20Z,1446
20191017T19Z,1438
20191017T18Z,1418
20191017T17Z,1408
20191017T16Z,1451
20191017T15Z,1487
20191017T14Z,1511
20191017T13Z,1475
20191017T12Z,1335
20191017T11Z,1266
20191017T10Z,1246
20191017T09Z,1256
20191017T08Z,1272
20191017T07Z,1301
20191017T06Z,1348
20191017T05Z,1435
20191017T04Z,1534
20191017T03Z,1613
20191017T02Z,1628
20191017T01Z,1586
20191017T00Z,1554
20191016T23Z,1523
20191016T22Z,1510
20191016T21Z,1470
20191016T20Z,1440
20191016T19Z,1420
20191016T18Z,1405
20191016T17Z,1416
20191016T16Z,1442
20191016T15Z,1478
20191016T14Z,1496
20191016T13Z,1448
20191016T12Z,1320
20191016T11Z,1248
20191016T10Z,1224
20191016T09Z,1223
20191016T08Z,1242
20191016T07Z,1323
20191016T06Z,1324
20191016T05Z,1427
20191016T04Z,1528
20191016T03Z,1601
20191016T02Z,1622
20191016T01Z,1577
20191016T00Z,1562
20191015T23Z,1557
20191015T22Z,1529
20191015T21Z,1524
20191015T20Z,1481
20191015T19Z,1473
20191015T18Z,1399
20191015T17Z,1435
20191015T16Z,1451
20191015T15Z,1496
20191015T14Z,1518
20191015T13Z,1466
20191015T12Z,1335
20191015T11Z,1282
20191015T10Z,1272
20191015T09Z,1278
20191015T08Z,1295
20191015T07Z,1328
20191015T06Z,1383
20191015T05Z,1488
20191015T04Z,1604
20191015T03Z,1689
20191015T02Z,1700
20191015T01Z,1633
20191015T00Z,1590
20191014T23Z,1571
20191014T22Z,1543
20191014T21Z,1495
20191014T20Z,1468
20191014T19Z,1444
20191014T18Z,1448
20191014T17Z,1382
20191014T16Z,1436
20191014T15Z,1484
20191014T14Z,1486
20191014T13Z,1425
20191014T12Z,1318
20191014T11Z,1268
20191014T10Z,1263
20191014T09Z,1271
20191014T08Z,1281
20191014T07Z,1321
20191014T06Z,1380
20191014T05Z,1457
20191014T04Z,1540
20191014T03Z,1603
20191014T02Z,1617
20191014T01Z,1569
20191014T00Z,1516
20191013T23Z,1463
20191013T22Z,1409
20191013T21Z,1377
20191013T20Z,1360
20191013T19Z,1353
20191013T18Z,1342
20191013T17Z,1353
20191013T16Z,1375
20191013T15Z,1378
20191013T14Z,1370
20191013T13Z,1353
20191013T12Z,1305
20191013T11Z,1295
20191013T10Z,1299
20191013T09Z,1300
20191013T08Z,1319
20191013T07Z,1360
20191013T06Z,1239
20191013T05Z,1470
20191013T04Z,1527
20191013T03Z,1589
20191013T02Z,1592
20191013T01Z,1521
20191013T00Z,1478
20191012T23Z,1431
20191012T22Z,1397
20191012T21Z,1373
20191012T20Z,1374
20191012T19Z,1385
20191012T18Z,1399
