,Demand1
20191225T05-05,1402
20191225T04-05,1411
20191225T03-05,1456
20191225T02-05,1517
20191225T01-05,1607
20191225T00-05,1719
20191224T23-05,1823
20191224T22-05,1913
20191224T21-05,2000
20191224T20-05,2072
20191224T19-05,2163
20191224T18-05,2152
20191224T17-05,2092
20191224T16-05,2074
20191224T15-05,2087
20191224T14-05,2103
20191224T13-05,2117
20191224T12-05,2135
20191224T11-05,2126
20191224T10-05,2041
20191224T09-05,1928
20191224T08-05,1794
20191224T07-05,1675
20191224T06-05,1556
20191224T05-05,1480
20191224T04-05,1463
20191224T03-05,1484
20191224T02-05,1539
20191224T01-05,1645
20191224T00-05,1786
20191223T23-05,1936
20191223T22-05,2064
20191223T21-05,2150
20191223T20-05,2208
20191223T19-05,2248
20191223T18-05,2145
20191223T17-05,2078
20191223T16-05,2107
20191223T15-05,2148
20191223T14-05,2190
20191223T13-05,2217
20191223T12-05,2203
20191223T11-05,2145
20191223T10-05,2034
20191223T09-05,1925
20191223T08-05,1806
20191223T07-05,1704
20191223T06-05,1568
20191223T05-05,1475
20191223T04-05,1457
20191223T03-05,1479
20191223T02-05,1540
20191223T01-05,1661
20191223T00-05,1810
20191222T23-05,1949
20191222T22-05,2074
20191222T21-05,2170
20191222T20-05,2229
20191222T19-05,2254
20191222T18-05,2202
20191222T17-05,2131
20191222T16-05,2113
20191222T15-05,2112
20191222T14-05,2126
20191222T13-05,2122
20191222T12-05,2105
20191222T11-05,2057
20191222T10-05,1965
20191222T09-05,1822
20191222T08-05,1661
20191222T07-05,1551
20191222T06-05,1496
20191222T05-05,1463
20191222T04-05,1456
20191222T03-05,1485
20191222T02-05,1531
20191222T01-05,1623
20191222T00-05,1752
20191221T23-05,1881
20191221T22-05,1987
20191221T21-05,2072
20191221T20-05,2134
20191221T19-05,2192
20191221T18-05,2170
20191221T17-05,2098
20191221T16-05,2070
20191221T15-05,2074
20191221T14-05,2085
20191221T13-05,2097
20191221T12-05,2085
20191221T11-05,2066
20191221T10-05,2001
20191221T09-05,1872
20191221T08-05,1702
20191221T07-05,1598
20191221T06-05,1508
20191221T05-05,1461
20191221T04-05,1451
20191221T03-05,1478
20191221T02-05,1537
20191221T01-05,1620
20191221T00-05,1775
20191220T23-05,1923
20191220T22-05,2040
20191220T21-05,2136
20191220T20-05,2200
20191220T19-05,2251
20191220T18-05,2197
20191220T17-05,2095
20191220T16-05,2079
20191220T15-05,2080
20191220T14-05,2069
20191220T13-05,2084
20191220T12-05,2098
20191220T11-05,2095
20191220T10-05,2144
20191220T09-05,2195
20191220T08-05,2193
20191220T07-05,2119
20191220T06-05,1885
20191220T05-05,1720
20191220T04-05,1663
20191220T03-05,1660
20191220T02-05,1685
20191220T01-05,1734
20191220T00-05,1855
20191219T23-05,1999
20191219T22-05,2148
20191219T21-05,2254
20191219T20-05,2308
20191219T19-05,2320
20191219T18-05,2190
20191219T17-05,2052
20191219T16-05,2021
20191219T15-05,2035
20191219T14-05,2077
20191219T13-05,2164
20191219T12-05,2272
20191219T11-05,2398
20191219T10-05,2509
20191219T09-05,2626
20191219T08-05,2664
20191219T07-05,2551
20191219T06-05,2247
20191219T05-05,2010
20191219T04-05,1916
20191219T03-05,1878
20191219T02-05,1872
20191219T01-05,1916
20191219T00-05,1980
20191218T23-05,2121
20191218T22-05,2260
20191218T21-05,2353
20191218T20-05,2386
20191218T19-05,2373
20191218T18-05,2194
20191218T17-05,2058
20191218T16-05,2024
20191218T15-05,2017
20191218T14-05,2053
20191218T13-05,2043
20191218T12-05,2058
20191218T11-05,2035
20191218T10-05,1996
20191218T09-05,1966
20191218T08-05,1964
20191218T07-05,1881
20191218T06-05,1678
20191218T05-05,1547
20191218T04-05,1527
20191218T03-05,1546
20191218T02-05,1609
20191218T01-05,1724
20191218T00-05,1910
20191217T23-05,2129
20191217T22-05,2349
20191217T21-05,2540
20191217T20-05,2728
20191217T19-05,2875
20191217T18-05,2787
20191217T17-05,2695
20191217T16-05,2704
20191217T15-05,2679
20191217T14-05,2659
20191217T13-05,2593
20191217T12-05,2498
20191217T11-05,2350
20191217T10-05,2230
20191217T09-05,2115
20191217T08-05,2055
20191217T07-05,1948
20191217T06-05,1712
20191217T05-05,1548
20191217T04-05,1508
20191217T03-05,1516
20191217T02-05,1583
20191217T01-05,1699
20191217T00-05,1873
20191216T23-05,2093
20191216T22-05,2296
20191216T21-05,2480
20191216T20-05,2610
20191216T19-05,2693
20191216T18-05,2606
20191216T17-05,2576
20191216T16-05,2582
20191216T15-05,2526
20191216T14-05,2434
20191216T13-05,2332
20191216T12-05,2226
20191216T11-05,2126
20191216T10-05,2042
20191216T09-05,1989
20191216T08-05,1966
20191216T07-05,1892
20191216T06-05,1651
20191216T05-05,1491
20191216T04-05,1430
20191216T03-05,1429
20191216T02-05,1467
20191216T01-05,1548
20191216T00-05,1676
20191215T23-05,1855
20191215T22-05,2022
20191215T21-05,2130
20191215T20-05,2203
20191215T19-05,2242
20191215T18-05,2151
20191215T17-05,2122
20191215T16-05,2110
20191215T15-05,2076
20191215T14-05,2048
20191215T13-05,2029
20191215T12-05,2017
20191215T11-05,2006
20191215T10-05,1981
20191215T09-05,1907
20191215T08-05,1729
20191215T07-05,1605
20191215T06-05,1505
20191215T05-05,1450
20191215T04-05,1430
20191215T03-05,1436
20191215T02-05,1483
20191215T01-05,1561
20191215T00-05,1684
20191214T23-05,1814
20191214T22-05,1919
20191214T21-05,2007
20191214T20-05,2087
20191214T19-05,2168
20191214T18-05,2140
20191214T17-05,2168
20191214T16-05,2217
20191214T15-05,2240
20191214T14-05,2248
20191214T13-05,2242
20191214T12-05,2186
20191214T11-05,2137
20191214T10-05,2039
20191214T09-05,1877
20191214T08-05,1755
20191214T07-05,1678
20191214T06-05,1601
20191214T05-05,1555
20191214T04-05,1551
20191214T03-05,1577
20191214T02-05,1622
20191214T01-05,1724
20191214T00-05,1872
20191213T23-05,2033
20191213T22-05,2169
20191213T21-05,2264
20191213T20-05,2345
20191213T19-05,2414
20191213T18-05,2350
20191213T17-05,2239
20191213T16-05,2211
20191213T15-05,2207
20191213T14-05,2231
20191213T13-05,2206
20191213T12-05,2183
20191213T11-05,2171
20191213T10-05,2110
20191213T09-05,2047
20191213T08-05,2006
20191213T07-05,1901
20191213T06-05,1691
20191213T05-05,1559
20191213T04-05,1538
20191213T03-05,1544
20191213T02-05,1612
20191213T01-05,1710
20191213T00-05,1897
20191212T23-05,2107
20191212T22-05,2311
20191212T21-05,2455
20191212T20-05,2546
20191212T19-05,2582
20191212T18-05,2491
20191212T17-05,2392
20191212T16-05,2377
20191212T15-05,2370
20191212T14-05,2343
20191212T13-05,2302
20191212T12-05,2244
20191212T11-05,2168
20191212T10-05,2092
20191212T09-05,2010
20191212T08-05,1963
20191212T07-05,1872
20191212T06-05,1624
20191212T05-05,1470
20191212T04-05,1431
20191212T03-05,1441
20191212T02-05,1489
20191212T01-05,1579
20191212T00-05,1725
20191211T23-05,1941
20191211T22-05,2150
20191211T21-05,2327
20191211T20-05,2491
20191211T19-05,2639
20191211T18-05,2672
20191211T17-05,2642
20191211T16-05,2677
20191211T15-05,2653
20191211T14-05,2578
20191211T13-05,2458
20191211T12-05,2337
20191211T11-05,2224
20191211T10-05,2115
20191211T09-05,2025
20191211T08-05,1973
20191211T07-05,1892
20191211T06-05,1670
20191211T05-05,1533
20191211T04-05,1533
20191211T03-05,1556
20191211T02-05,1625
20191211T01-05,1723
20191211T00-05,1900
20191210T23-05,2142
20191210T22-05,2377
20191210T21-05,2558
20191210T20-05,2692
20191210T19-05,2765
20191210T18-05,2694
20191210T17-05,2646
20191210T16-05,2643
20191210T15-05,2596
20191210T14-05,2518
20191210T13-05,2401
20191210T12-05,2296
20191210T11-05,2182
20191210T10-05,2067
20191210T09-05,1973
20191210T08-05,1905
20191210T07-05,1822
20191210T06-05,1592
20191210T05-05,1443
20191210T04-05,1416
20191210T03-05,1437
20191210T02-05,1490
20191210T01-05,1589
20191210T00-05,1749
20191209T23-05,1984
20191209T22-05,2215
20191209T21-05,2385
20191209T20-05,2507
20191209T19-05,2595
20191209T18-05,2524
20191209T17-05,2497
20191209T16-05,2492
20191209T15-05,2461
20191209T14-05,2414
20191209T13-05,2323
20191209T12-05,2230
20191209T11-05,2133
20191209T10-05,2024
20191209T09-05,1943
20191209T08-05,1884
20191209T07-05,1798
20191209T06-05,1568
20191209T05-05,1428
20191209T04-05,1380
20191209T03-05,1402
20191209T02-05,1479
20191209T01-05,1594
20191209T00-05,1757
20191208T23-05,1976
20191208T22-05,2149
20191208T21-05,2270
20191208T20-05,2368
20191208T19-05,2436
20191208T18-05,2357
20191208T17-05,2333
20191208T16-05,2318
20191208T15-05,2260
20191208T14-05,2238
20191208T13-05,2188
20191208T12-05,2117
20191208T11-05,2035
20191208T10-05,1940
20191208T09-05,1805
20191208T08-05,1645
20191208T07-05,1559
20191208T06-05,1490
20191208T05-05,1452
20191208T04-05,1449
20191208T03-05,1503
20191208T02-05,1548
20191208T01-05,1629
20191208T00-05,1738
20191207T23-05,1851
20191207T22-05,1950
20191207T21-05,2037
20191207T20-05,2100
20191207T19-05,2168
20191207T18-05,2102
20191207T17-05,2051
20191207T16-05,2045
20191207T15-05,2047
20191207T14-05,2037
20191207T13-05,2026
20191207T12-05,2058
20191207T11-05,2129
20191207T10-05,2186
20191207T09-05,2173
20191207T08-05,2075
20191207T07-05,1975
20191207T06-05,1845
20191207T05-05,1751
20191207T04-05,1724
20191207T03-05,1710
20191207T02-05,1728
20191207T01-05,1779
20191207T00-05,1867
20191206T23-05,1979
