,Demand1
20191225T05-05,80137
20191225T04-05,78916
20191225T03-05,78581
20191225T02-05,78870
20191225T01-05,80869
20191225T00-05,83491
20191224T23-05,84955
20191224T22-05,85145
20191224T21-05,85558
20191224T20-05,85950
20191224T19-05,87069
20191224T18-05,87047
20191224T17-05,82072
20191224T16-05,79816
20191224T15-05,79843
20191224T14-05,81106
20191224T13-05,82777
20191224T12-05,85277
20191224T11-05,87914
20191224T10-05,90049
20191224T09-05,91083
20191224T08-05,90135
20191224T07-05,86623
20191224T06-05,82347
20191224T05-05,80717
20191224T04-05,80141
20191224T03-05,80088
20191224T02-05,80823
20191224T01-05,82531
20191224T00-05,85631
20191223T23-05,88882
20191223T22-05,92362
20191223T21-05,94273
20191223T20-05,95165
20191223T19-05,95676
20191223T18-05,93974
20191223T17-05,88098
20191223T16-05,85669
20191223T15-05,85866
20191223T14-05,87362
20191223T13-05,89623
20191223T12-05,93047
20191223T11-05,96413
20191223T10-05,99222
20191223T09-05,100443
20191223T08-05,99281
20191223T07-05,94564
20191223T06-05,88874
20191223T05-05,86344
20191223T04-05,84564
20191223T03-05,84451
20191223T02-05,84667
20191223T01-05,85615
20191223T00-05,88086
20191222T23-05,91275
20191222T22-05,94036
20191222T21-05,95287
20191222T20-05,95513
20191222T19-05,95361
20191222T18-05,93208
20191222T17-05,86731
20191222T16-05,85364
20191222T15-05,85307
20191222T14-05,86212
20191222T13-05,87534
20191222T12-05,89544
20191222T11-05,91693
20191222T10-05,95463
20191222T09-05,97771
20191222T08-05,96683
20191222T07-05,93348
20191222T06-05,90548
20191222T05-05,89153
20191222T04-05,88385
20191222T03-05,88700
20191222T02-05,89359
20191222T01-05,91092
20191222T00-05,94572
20191221T23-05,97398
20191221T22-05,99226
20191221T21-05,100351
20191221T20-05,100366
20191221T19-05,100105
20191221T18-05,98186
20191221T17-05,92747
20191221T16-05,91461
20191221T15-05,91679
20191221T14-05,93313
20191221T13-05,94348
20191221T12-05,97180
20191221T11-05,99761
20191221T10-05,101663
20191221T09-05,101588
20191221T08-05,99292
20191221T07-05,95575
20191221T06-05,92202
20191221T05-05,91170
20191221T04-05,91117
20191221T03-05,91362
20191221T02-05,91707
20191221T01-05,93784
20191221T00-05,97520
20191220T23-05,101996
20191220T22-05,104942
20191220T21-05,106560
20191220T20-05,107662
20191220T19-05,108276
20191220T18-05,107149
20191220T17-05,100701
20191220T16-05,97898
20191220T15-05,97412
20191220T14-05,98405
20191220T13-05,99896
20191220T12-05,102494
20191220T11-05,106102
20191220T10-05,111283
20191220T09-05,116130
20191220T08-05,117602
20191220T07-05,112784
20191220T06-05,104894
20191220T05-05,100126
20191220T04-05,98185
20191220T03-05,98766
20191220T02-05,98849
20191220T01-05,100226
20191220T00-05,103186
20191219T23-05,108060
20191219T22-05,112940
20191219T21-05,115607
20191219T20-05,116573
20191219T19-05,116754
20191219T18-05,114733
20191219T17-05,107484
20191219T16-05,104194
20191219T15-05,104041
20191219T14-05,104956
20191219T13-05,106661
20191219T12-05,109155
20191219T11-05,112572
20191219T10-05,116189
20191219T09-05,120166
20191219T08-05,121418
20191219T07-05,116609
20191219T06-05,108437
20191219T05-05,103209
20191219T04-05,100918
20191219T03-05,100565
20191219T02-05,100764
20191219T01-05,101383
20191219T00-05,104061
20191218T23-05,108799
20191218T22-05,113463
20191218T21-05,115745
20191218T20-05,116536
20191218T19-05,116826
20191218T18-05,114740
20191218T17-05,107779
20191218T16-05,103585
20191218T15-05,102807
20191218T14-05,103137
20191218T13-05,103475
20191218T12-05,103719
20191218T11-05,104914
20191218T10-05,106790
20191218T09-05,109331
20191218T08-05,110285
20191218T07-05,105101
20191218T06-05,97883
20191218T05-05,93331
20191218T04-05,90901
20191218T03-05,90138
20191218T02-05,90467
20191218T01-05,91349
20191218T00-05,94032
20191217T23-05,98827
20191217T22-05,103875
20191217T21-05,106873
20191217T20-05,108227
20191217T19-05,109244
20191217T18-05,108326
20191217T17-05,103526
20191217T16-05,100985
20191217T15-05,100900
20191217T14-05,101406
20191217T13-05,101899
20191217T12-05,102618
20191217T11-05,103408
20191217T10-05,103590
20191217T09-05,103840
20191217T08-05,102944
20191217T07-05,97564
20191217T06-05,91336
20191217T05-05,87958
20191217T04-05,86470
20191217T03-05,86394
20191217T02-05,86990
20191217T01-05,88790
20191217T00-05,92336
20191216T23-05,97074
20191216T22-05,102090
20191216T21-05,105850
20191216T20-05,107875
20191216T19-05,109216
20191216T18-05,109023
20191216T17-05,104581
20191216T16-05,101748
20191216T15-05,101339
20191216T14-05,101716
20191216T13-05,101991
20191216T12-05,102628
20191216T11-05,103037
20191216T10-05,103029
20191216T09-05,102991
20191216T08-05,102054
20191216T07-05,96760
20191216T06-05,88704
20191216T05-05,83463
20191216T04-05,83086
20191216T03-05,83759
20191216T02-05,84431
20191216T01-05,86155
20191216T00-05,88749
20191215T23-05,91970
20191215T22-05,95894
20191215T21-05,98391
20191215T20-05,99042
20191215T19-05,98866
20191215T18-05,96738
20191215T17-05,89875
20191215T16-05,85992
20191215T15-05,85161
20191215T14-05,85073
20191215T13-05,86086
20191215T12-05,86905
20191215T11-05,87165
20191215T10-05,87430
20191215T09-05,86551
20191215T08-05,84369
20191215T07-05,81918
20191215T06-05,80045
20191215T05-05,79486
20191215T04-05,79280
20191215T03-05,79763
20191215T02-05,80205
20191215T01-05,81591
20191215T00-05,83980
20191214T23-05,87145
20191214T22-05,90238
20191214T21-05,91938
20191214T20-05,93026
20191214T19-05,93847
20191214T18-05,93522
20191214T17-05,89104
20191214T16-05,86981
20191214T15-05,87013
20191214T14-05,88113
20191214T13-05,89092
20191214T12-05,90053
20191214T11-05,90159
20191214T10-05,89354
20191214T09-05,87370
20191214T08-05,84506
20191214T07-05,81547
20191214T06-05,79741
20191214T05-05,79277
20191214T04-05,78993
20191214T03-05,79805
