,Demand
20191102T11Z,1366
20191102T10Z,1374
20191102T09Z,1411
20191102T08Z,1458
20191102T07Z,1544
20191102T06Z,1655
20191102T05Z,1745
20191102T04Z,1813
20191102T03Z,1857
20191102T02Z,1857
20191102T01Z,1785
20191102T00Z,1744
20191101T23Z,1714
20191101T22Z,1716
20191101T21Z,1724
20191101T20Z,1743
20191101T19Z,1778
20191101T18Z,1812
20191101T17Z,1860
20191101T16Z,1898
20191101T15Z,1900
20191101T14Z,1776
20191101T13Z,1579
20191101T12Z,1448
20191101T11Z,1406
20191101T10Z,1397
20191101T09Z,1414
20191101T08Z,1457
20191101T07Z,1519
20191101T06Z,1631
20191101T05Z,1741
20191101T04Z,1773
20191101T03Z,1781
20191101T02Z,1824
20191101T01Z,1807
20191101T00Z,1772
20191031T23Z,1750
20191031T22Z,1727
20191031T21Z,1748
20191031T20Z,1757
20191031T19Z,1799
20191031T18Z,1849
20191031T17Z,1902
20191031T16Z,1919
20191031T15Z,1956
20191031T14Z,1835
20191031T13Z,1600
20191031T12Z,1465
20191031T11Z,1415
20191031T10Z,1417
20191031T09Z,1436
20191031T08Z,1472
20191031T07Z,1551
20191031T06Z,1671
20191031T05Z,1808
20191031T04Z,1901
20191031T03Z,1947
20191031T02Z,1928
20191031T01Z,1854
20191031T00Z,1782
20191030T23Z,1766
20191030T22Z,1747
20191030T21Z,1754
20191030T20Z,1769
20191030T19Z,1808
20191030T18Z,1839
20191030T17Z,-3949
20191030T16Z,1911
20191030T15Z,1914
20191030T14Z,1781
20191030T13Z,1547
20191030T12Z,1426
20191030T11Z,1373
20191030T10Z,1356
20191030T09Z,1391
20191030T08Z,1425
20191030T07Z,1483
20191030T06Z,1600
20191030T05Z,1754
20191030T04Z,1861
20191030T03Z,1922
20191030T02Z,1916
20191030T01Z,1790
20191030T00Z,1717
20191029T23Z,1709
20191029T22Z,1702
20191029T21Z,1726
20191029T20Z,1722
20191029T19Z,1726
20191029T18Z,1762
20191029T17Z,1798
20191029T16Z,1816
20191029T15Z,1847
20191029T14Z,1711
20191029T13Z,1517
20191029T12Z,1416
20191029T11Z,1373
20191029T10Z,1376
20191029T09Z,1389
20191029T08Z,1432
20191029T07Z,1523
20191029T06Z,1634
20191029T05Z,1772
20191029T04Z,1899
20191029T03Z,1959
20191029T02Z,1968
20191029T01Z,1835
20191029T00Z,1778
20191028T23Z,1733
20191028T22Z,1751
20191028T21Z,1747
20191028T20Z,1757
20191028T19Z,1781
20191028T18Z,1799
20191028T17Z,1818
20191028T16Z,1827
20191028T15Z,1835
20191028T14Z,1712
20191028T13Z,1471
20191028T12Z,1347
20191028T11Z,1304
20191028T10Z,1287
20191028T09Z,1309
20191028T08Z,1351
20191028T07Z,1417
20191028T06Z,1560
20191028T05Z,1695
20191028T04Z,1783
20191028T03Z,1844
20191028T02Z,1821
20191028T01Z,1710
20191028T00Z,1623
20191027T23Z,1576
20191027T22Z,1544
20191027T21Z,1541
20191027T20Z,1545
20191027T19Z,1554
20191027T18Z,1553
20191027T17Z,1539
20191027T16Z,1487
20191027T15Z,1480
20191027T14Z,1415
20191027T13Z,1359
20191027T12Z,1323
20191027T11Z,1323
20191027T10Z,1350
20191027T09Z,1386
20191027T08Z,1456
