,Total interchange1
20191205T21-05,-45
20191205T20-05,-33
20191205T19-05,29
20191205T18-05,-34
20191205T17-05,-33
20191205T16-05,-43
20191205T15-05,-43
20191205T14-05,-38
20191205T13-05,-46
20191205T12-05,-47
20191205T11-05,-36
20191205T10-05,-48
20191205T09-05,-40
20191205T08-05,-42
20191205T07-05,-55
20191205T06-05,-58
20191205T05-05,-50
20191205T04-05,-60
20191205T03-05,-61
20191205T02-05,-53
20191205T01-05,-56
20191205T00-05,-46
20191204T23-05,-43
20191204T22-05,-47
20191204T21-05,-45
20191204T20-05,-43
20191204T19-05,-35
20191204T18-05,-42
20191204T17-05,-39
20191204T16-05,-37
20191204T15-05,-40
20191204T14-05,-32
20191204T13-05,-43
20191204T12-05,-41
20191204T11-05,-35
20191204T10-05,-31
20191204T09-05,-27
20191204T08-05,-31
20191204T07-05,-52
20191204T06-05,-52
20191204T05-05,-55
20191204T04-05,-73
20191204T03-05,-60
20191204T02-05,-61
20191204T01-05,-62
20191204T00-05,-50
20191203T23-05,-41
20191203T22-05,-55
20191203T21-05,-38
20191203T20-05,-50
20191203T19-05,-47
20191203T18-05,-37
20191203T17-05,-38
20191203T16-05,-38
20191203T15-05,-38
20191203T14-05,-32
20191203T13-05,-25
20191203T12-05,-19
20191203T11-05,-27
20191203T10-05,-32
20191203T09-05,-34
20191203T08-05,-47
20191203T07-05,-54
20191203T06-05,-54
20191203T05-05,-51
20191203T04-05,-58
20191203T03-05,-60
20191203T02-05,-48
20191203T01-05,-58
20191203T00-05,-49
20191202T23-05,-46
20191202T22-05,-41
20191202T21-05,-42
20191202T20-05,-38
20191202T19-05,-37
20191202T18-05,-39
20191202T17-05,-41
20191202T16-05,-44
20191202T15-05,-44
20191202T14-05,-43
20191202T13-05,-47
20191202T12-05,-28
20191202T11-05,-40
20191202T10-05,-35
20191202T09-05,-41
20191202T08-05,-48
20191202T07-05,-45
20191202T06-05,-48
20191202T05-05,-50
20191202T04-05,-70
20191202T03-05,-38
20191202T02-05,-51
20191202T01-05,-47
20191202T00-05,-45
20191201T23-05,-50
20191201T22-05,-39
20191201T21-05,-41
20191201T20-05,-40
20191201T19-05,-41
20191201T18-05,-47
20191201T17-05,-50
20191201T16-05,-41
20191201T15-05,-69
20191201T14-05,-45
20191201T13-05,-54
20191201T12-05,-68
20191201T11-05,-54
20191201T10-05,-33
20191201T09-05,-52
20191201T08-05,-50
20191201T07-05,-47
20191201T06-05,-50
20191201T05-05,-47
20191201T04-05,-53
20191201T03-05,-47
20191201T02-05,-48
20191201T01-05,-51
20191201T00-05,-46
20191130T23-05,-58
20191130T22-05,-44
20191130T21-05,-73
20191130T20-05,-53
20191130T19-05,-42
20191130T18-05,-52
20191130T17-05,-46
20191130T16-05,-41
20191130T15-05,-43
20191130T14-05,-50
20191130T13-05,-49
20191130T12-05,-50
20191130T11-05,-37
20191130T10-05,-33
20191130T09-05,-36
20191130T08-05,-34
20191130T07-05,-36
20191130T06-05,-45
20191130T05-05,-38
20191130T04-05,-38
20191130T03-05,-32
20191130T02-05,-36
20191130T01-05,-56
20191130T00-05,-37
20191129T23-05,-30
20191129T22-05,-38
20191129T21-05,-31
20191129T20-05,-35
20191129T19-05,-31
20191129T18-05,-35
20191129T17-05,-43
20191129T16-05,-35
20191129T15-05,-43
20191129T14-05,-46
20191129T13-05,-31
20191129T12-05,-30
20191129T11-05,-40
20191129T10-05,-41
20191129T09-05,-43
20191129T08-05,-49
20191129T07-05,-51
20191129T06-05,-50
20191129T05-05,-57
20191129T04-05,-70
20191129T03-05,-60
20191129T02-05,-59
20191129T01-05,-64
20191129T00-05,-56
20191128T23-05,-48
20191128T22-05,-46
20191128T21-05,-50
20191128T20-05,-46
20191128T19-05,-51
20191128T18-05,-52
20191128T17-05,-50
20191128T16-05,-41
20191128T15-05,-55
20191128T14-05,-58
20191128T13-05,-48
20191128T12-05,-55
20191128T11-05,-39
20191128T10-05,-41
20191128T09-05,-51
20191128T08-05,-47
20191128T07-05,-58
20191128T06-05,-53
20191128T05-05,-64
20191128T04-05,-62
20191128T03-05,-48
20191128T02-05,-55
20191128T01-05,-48
20191128T00-05,-49
20191127T23-05,-58
20191127T22-05,-49
20191127T21-05,-50
20191127T20-05,-48
20191127T19-05,-52
20191127T18-05,-50
20191127T17-05,-52
20191127T16-05,-48
20191127T15-05,-50
20191127T14-05,-40
20191127T13-05,-46
20191127T12-05,-46
20191127T11-05,-43
20191127T10-05,-48
20191127T09-05,-45
20191127T08-05,-52
20191127T07-05,-52
20191127T06-05,-58
20191127T05-05,-51
20191127T04-05,-50
20191127T03-05,-59
20191127T02-05,-52
20191127T01-05,-50
20191127T00-05,-45
20191126T23-05,-39
20191126T22-05,-35
20191126T21-05,-35
20191126T20-05,-48
20191126T19-05,-42
20191126T18-05,-35
20191126T17-05,-39
20191126T16-05,-37
20191126T15-05,-41
20191126T14-05,-40
20191126T13-05,-54
20191126T12-05,-50
20191126T11-05,-42
20191126T10-05,-42
20191126T09-05,-36
20191126T08-05,-50
20191126T07-05,-53
20191126T06-05,-58
20191126T05-05,-60
20191126T04-05,-64
20191126T03-05,-65
20191126T02-05,-53
20191126T01-05,-65
20191126T00-05,-34
20191125T23-05,-48
20191125T22-05,-46
20191125T21-05,-50
20191125T20-05,-166
20191125T19-05,-40
20191125T18-05,-55
20191125T17-05,-44
20191125T16-05,-50
20191125T15-05,-53
20191125T14-05,-44
20191125T13-05,-49
20191125T12-05,-34
20191125T11-05,-41
20191125T10-05,-44
20191125T09-05,-53
20191125T08-05,-12
20191125T07-05,-11
20191125T06-05,-42
20191125T05-05,-43
20191125T04-05,-31
20191125T03-05,-35
20191125T02-05,-42
20191125T01-05,-35
20191125T00-05,-26
20191124T23-05,-50
20191124T22-05,-44
20191124T21-05,-37
20191124T20-05,-44
20191124T19-05,-41
20191124T18-05,-38
20191124T17-05,-41
20191124T16-05,-43
20191124T15-05,-51
20191124T14-05,-51
20191124T13-05,-35
20191124T12-05,-60
20191124T11-05,-45
20191124T10-05,-49
20191124T09-05,-45
20191124T08-05,-46
20191124T07-05,-30
20191124T06-05,-49
20191124T05-05,-67
20191124T04-05,-40
20191124T03-05,-36
20191124T02-05,-30
20191124T01-05,-43
20191124T00-05,-22
20191123T23-05,114
20191123T22-05,122
20191123T21-05,122
20191123T20-05,127
20191123T19-05,125
20191123T18-05,124
20191123T17-05,129
20191123T16-05,124
20191123T15-05,133
