,Total interchange1
20191224T22-08,-253
20191224T21-08,-147
20191224T20-08,-93
20191224T19-08,9
20191224T18-08,19
20191224T17-08,-76
20191224T16-08,-324
20191224T15-08,-454
20191224T14-08,-394
20191224T13-08,-439
20191224T12-08,-427
20191224T11-08,-386
20191224T10-08,-307
20191224T09-08,-298
20191224T08-08,-224
20191224T07-08,-177
20191224T06-08,-162
20191224T05-08,-407
20191224T04-08,-448
20191224T03-08,-394
20191224T02-08,-377
20191224T01-08,-234
20191224T00-08,-155
20191223T23-08,-51
20191223T22-08,-39
20191223T21-08,-95
20191223T20-08,133
20191223T19-08,125
20191223T18-08,17
20191223T17-08,96
20191223T16-08,-13
20191223T15-08,-107
20191223T14-08,-312
20191223T13-08,-328
20191223T12-08,-350
20191223T11-08,-340
20191223T10-08,-107
20191223T09-08,-126
20191223T08-08,-82
20191223T07-08,-165
20191223T06-08,-174
20191223T05-08,-369
20191223T04-08,-379
20191223T03-08,-367
20191223T02-08,-384
20191223T01-08,-403
20191223T00-08,-233
20191222T23-08,-231
20191222T22-08,-33
20191222T21-08,-10
20191222T20-08,-10
20191222T19-08,74
20191222T18-08,92
20191222T17-08,0
20191222T16-08,-177
20191222T15-08,-450
20191222T14-08,-365
20191222T13-08,-276
20191222T12-08,-361
20191222T11-08,-301
20191222T10-08,-365
20191222T09-08,-366
20191222T08-08,-205
20191222T07-08,-163
20191222T06-08,-324
20191222T05-08,-297
20191222T04-08,-305
20191222T03-08,-284
20191222T02-08,-281
20191222T01-08,-301
20191222T00-08,-323
20191221T23-08,-363
20191221T22-08,-353
20191221T21-08,-373
20191221T20-08,-324
20191221T19-08,-203
20191221T18-08,-246
20191221T17-08,-208
20191221T16-08,-213
20191221T15-08,-296
20191221T14-08,-530
20191221T13-08,-535
20191221T12-08,-488
20191221T11-08,-483
20191221T10-08,-361
20191221T09-08,-331
20191221T08-08,-120
20191221T07-08,-120
20191221T06-08,-168
20191221T05-08,-174
20191221T04-08,-193
20191221T03-08,-225
20191221T02-08,-223
20191221T01-08,-220
20191221T00-08,-376
20191220T23-08,-439
20191220T22-08,-402
20191220T21-08,-457
20191220T20-08,-474
20191220T19-08,-357
20191220T18-08,-416
20191220T17-08,-335
20191220T16-08,-327
20191220T15-08,-562
20191220T14-08,-705
20191220T13-08,-677
20191220T12-08,-671
20191220T11-08,-656
20191220T10-08,-580
20191220T09-08,-366
20191220T08-08,-423
20191220T07-08,-321
20191220T06-08,-336
20191220T05-08,-302
20191220T04-08,-541
20191220T03-08,-594
20191220T02-08,-598
20191220T01-08,-483
20191220T00-08,-317
20191219T23-08,-302
20191219T22-08,-523
20191219T21-08,-492
20191219T20-08,-282
20191219T19-08,-295
20191219T18-08,-290
20191219T17-08,-464
20191219T16-08,-559
20191219T15-08,-645
20191219T14-08,-609
20191219T13-08,-546
20191219T12-08,-574
20191219T11-08,-566
20191219T10-08,-514
20191219T09-08,-456
20191219T08-08,-376
20191219T07-08,-274
20191219T06-08,-43
20191219T05-08,-134
20191219T04-08,-157
20191219T03-08,-157
20191219T02-08,-126
20191219T01-08,-138
20191219T00-08,-93
20191218T23-08,-90
20191218T22-08,-354
20191218T21-08,-288
20191218T20-08,-271
20191218T19-08,-252
20191218T18-08,-244
20191218T17-08,-303
20191218T16-08,-361
20191218T15-08,-546
20191218T14-08,-693
20191218T13-08,-758
20191218T12-08,-673
20191218T11-08,-413
20191218T10-08,-428
20191218T09-08,-404
20191218T08-08,-234
20191218T07-08,-161
20191218T06-08,93
20191218T05-08,-42
20191218T04-08,-97
20191218T03-08,-123
20191218T02-08,-100
20191218T01-08,-111
20191218T00-08,-65
20191217T23-08,-82
20191217T22-08,-124
20191217T21-08,-146
20191217T20-08,-117
20191217T19-08,-50
20191217T18-08,-90
20191217T17-08,-153
20191217T16-08,-320
20191217T15-08,-503
20191217T14-08,-389
20191217T13-08,-412
20191217T12-08,-425
20191217T11-08,-422
20191217T10-08,-509
20191217T09-08,-212
20191217T08-08,-240
20191217T07-08,-221
20191217T06-08,-125
20191217T05-08,-144
20191217T04-08,-358
20191217T03-08,-368
20191217T02-08,-374
20191217T01-08,-136
20191217T00-08,-246
20191216T23-08,-150
20191216T22-08,-256
20191216T21-08,-259
20191216T20-08,-221
20191216T19-08,-242
20191216T18-08,-266
20191216T17-08,-410
20191216T16-08,-442
20191216T15-08,-487
20191216T14-08,-550
20191216T13-08,-521
20191216T12-08,-517
20191216T11-08,-532
20191216T10-08,-506
20191216T09-08,-324
20191216T08-08,-271
20191216T07-08,-186
20191216T06-08,-51
20191216T05-08,-99
20191216T04-08,-280
20191216T03-08,-296
20191216T02-08,-344
20191216T01-08,-329
20191216T00-08,-282
20191215T23-08,-269
20191215T22-08,-296
20191215T21-08,-150
20191215T20-08,-119
20191215T19-08,-248
20191215T18-08,-299
20191215T17-08,-338
20191215T16-08,-520
20191215T15-08,-519
20191215T14-08,-432
20191215T13-08,-366
20191215T12-08,-377
20191215T11-08,-356
20191215T10-08,-347
20191215T09-08,-362
20191215T08-08,-428
20191215T07-08,-364
20191215T06-08,-361
20191215T05-08,-418
20191215T04-08,-445
20191215T03-08,-484
20191215T02-08,-466
20191215T01-08,-470
20191215T00-08,-543
20191214T23-08,-617
20191214T22-08,-614
20191214T21-08,-561
20191214T20-08,-539
20191214T19-08,-369
20191214T18-08,-280
20191214T17-08,-290
20191214T16-08,-504
20191214T15-08,-598
20191214T14-08,-561
20191214T13-08,-575
20191214T12-08,-520
20191214T11-08,-527
20191214T10-08,-569
20191214T09-08,-509
20191214T08-08,-472
20191214T07-08,-454
20191214T06-08,-449
20191214T05-08,-396
20191214T04-08,-404
20191214T03-08,-452
20191214T02-08,-496
20191214T01-08,-476
20191214T00-08,-491
20191213T23-08,-552
20191213T22-08,-376
20191213T21-08,-422
20191213T20-08,-597
20191213T19-08,-615
20191213T18-08,-502
20191213T17-08,-442
20191213T16-08,-494
20191213T15-08,-557
20191213T14-08,-573
20191213T13-08,-554
20191213T12-08,-601
20191213T11-08,-606
20191213T10-08,-618
20191213T09-08,-551
20191213T08-08,-365
20191213T07-08,-303
20191213T06-08,-497
20191213T05-08,-621
20191213T04-08,-559
20191213T03-08,-587
20191213T02-08,-581
20191213T01-08,-623
20191213T00-08,-663
20191212T23-08,-598
20191212T22-08,-495
