,Total interchange
20180420T00Z,676
20180419T23Z,670
20180419T22Z,637
20180419T21Z,595
20180419T20Z,547
20180419T19Z,526
20180419T18Z,492
20180419T17Z,534
20180419T16Z,614
20180419T15Z,705
20180419T14Z,746
20180419T13Z,640
20180419T12Z,567
20180419T11Z,558
20180419T10Z,547
20180419T09Z,515
20180419T08Z,538
20180419T07Z,583
20180419T06Z,656
20180419T05Z,709
20180419T04Z,764
20180419T03Z,766
20180419T02Z,753
20180419T01Z,667
20180419T00Z,663
20180418T23Z,640
20180418T22Z,640
20180418T21Z,600
20180418T20Z,549
20180418T19Z,561
20180418T18Z,585
20180418T17Z,601
20180418T16Z,610
20180418T15Z,640
20180418T14Z,661
20180418T13Z,544
20180418T12Z,509
20180418T11Z,500
20180418T10Z,500
20180418T09Z,500
20180418T08Z,496
20180418T07Z,495
20180418T06Z,459
20180418T05Z,478
20180418T04Z,494
20180418T03Z,528
20180418T02Z,502
20180418T01Z,459
20180418T00Z,406
20180417T23Z,365
20180417T22Z,348
20180417T21Z,360
20180417T20Z,384
20180417T19Z,372
20180417T18Z,359
20180417T17Z,360
20180417T16Z,352
20180417T15Z,474
20180417T14Z,535
20180417T13Z,526
20180417T12Z,430
20180417T11Z,425
20180417T10Z,464
20180417T09Z,483
20180417T08Z,482
20180417T07Z,505
20180417T06Z,513
20180417T05Z,706
20180417T04Z,774
20180417T03Z,776
20180417T02Z,772
20180417T01Z,775
20180417T00Z,686
20180416T23Z,555
20180416T22Z,449
20180416T21Z,460
20180416T20Z,458
20180416T19Z,456
20180416T18Z,462
20180416T17Z,458
20180416T16Z,463
20180416T15Z,477
20180416T14Z,486
20180416T13Z,451
20180416T12Z,431
20180416T11Z,422
20180416T10Z,437
20180416T09Z,456
20180416T08Z,483
20180416T07Z,484
20180416T06Z,482
20180416T05Z,516
20180416T04Z,517
20180416T03Z,513
20180416T02Z,509
20180416T01Z,497
20180416T00Z,578
20180415T23Z,457
20180415T22Z,418
20180415T21Z,408
20180415T20Z,356
20180415T19Z,189
20180415T18Z,155
20180415T17Z,151
20180415T16Z,170
20180415T15Z,160
20180415T14Z,49
20180415T13Z,6
20180415T12Z,-4
20180415T11Z,4
20180415T10Z,-8
20180415T09Z,-10
20180415T08Z,41
20180415T07Z,206
20180415T06Z,228
20180415T05Z,265
20180415T04Z,263
20180415T03Z,259
20180415T02Z,254
20180415T01Z,175
20180415T00Z,178
20180414T23Z,181
20180414T22Z,214
20180414T21Z,207
20180414T20Z,211
20180414T19Z,214
20180414T18Z,221
20180414T17Z,214
20180414T16Z,199
20180414T15Z,226
20180414T14Z,234
20180414T13Z,231
20180414T12Z,230
20180414T11Z,230
20180414T10Z,225
20180414T09Z,230
20180414T08Z,226
20180414T07Z,205
20180414T06Z,251
20180414T05Z,256
20180414T04Z,255
20180414T03Z,253
20180414T02Z,252
20180414T01Z,252
20180414T00Z,251
20180413T23Z,253
20180413T22Z,245
20180413T21Z,228
20180413T20Z,229
20180413T19Z,225
20180413T18Z,228
20180413T17Z,221
20180413T16Z,165
20180413T15Z,230
20180413T14Z,265
20180413T13Z,261
20180413T12Z,210
20180413T11Z,223
20180413T10Z,230
20180413T09Z,231
20180413T08Z,225
20180413T07Z,217
20180413T06Z,196
20180413T05Z,259
20180413T04Z,257
20180413T03Z,257
20180413T02Z,256
20180413T01Z,257
20180413T00Z,256
20180412T23Z,254
20180412T22Z,254
20180412T21Z,254
20180412T20Z,235
20180412T19Z,228
20180412T18Z,219
20180412T17Z,223
20180412T16Z,221
20180412T15Z,205
20180412T14Z,223
20180412T13Z,166
20180412T12Z,163
20180412T11Z,161
20180412T10Z,161
20180412T09Z,159
20180412T08Z,191
20180412T07Z,222
20180412T06Z,256
20180412T05Z,258
20180412T04Z,256
20180412T03Z,253
20180412T02Z,251
20180412T01Z,252
20180412T00Z,251
20180411T23Z,251
20180411T22Z,251
20180411T21Z,252
20180411T20Z,246
20180411T19Z,253
20180411T18Z,201
20180411T17Z,190
20180411T16Z,201
20180411T15Z,222
20180411T14Z,225
20180411T13Z,222
20180411T12Z,223
20180411T11Z,221
20180411T10Z,222
20180411T09Z,222
20180411T08Z,218
20180411T07Z,223
20180411T06Z,221
20180411T05Z,255
20180411T04Z,258
20180411T03Z,255
20180411T02Z,254
20180411T01Z,251
20180411T00Z,254
20180410T23Z,250
20180410T22Z,251
20180410T21Z,225
20180410T20Z,207
20180410T19Z,216
20180410T18Z,218
20180410T17Z,223
20180410T16Z,224
20180410T15Z,224
20180410T14Z,226
20180410T13Z,223
20180410T12Z,225
20180410T11Z,223
20180410T10Z,222
20180410T09Z,222
20180410T08Z,222
20180410T07Z,221
20180410T06Z,253
20180410T05Z,262
20180410T04Z,259
20180410T03Z,258
20180410T02Z,258
20180410T01Z,256
20180410T00Z,255
20180409T23Z,256
20180409T22Z,258
20180409T21Z,258
20180409T20Z,259
20180409T19Z,261
20180409T18Z,263
20180409T17Z,258
20180409T16Z,253
20180409T15Z,257
20180409T14Z,228
20180409T13Z,223
20180409T12Z,224
20180409T11Z,220
20180409T10Z,225
20180409T09Z,222
20180409T08Z,222
20180409T07Z,222
20180409T06Z,210
20180409T05Z,243
20180409T04Z,259
20180409T03Z,257
20180409T02Z,255
20180409T01Z,256
20180409T00Z,254
20180408T23Z,257
20180408T22Z,256
20180408T21Z,255
20180408T20Z,234
20180408T19Z,216
20180408T18Z,215
20180408T17Z,183
20180408T16Z,165
20180408T15Z,170
20180408T14Z,211
20180408T13Z,211
20180408T12Z,210
20180408T11Z,204
20180408T10Z,197
20180408T09Z,211
20180408T08Z,207
20180408T07Z,211
20180408T06Z,244
20180408T05Z,254
20180408T04Z,252
20180408T03Z,251
20180408T02Z,252
20180408T01Z,250
20180408T00Z,250
20180407T23Z,250
20180407T22Z,186
20180407T21Z,20
20180407T20Z,-4
20180407T19Z,-5
20180407T18Z,-4
20180407T17Z,-5
20180407T16Z,-3
20180407T15Z,-1
20180407T14Z,-6
20180407T13Z,-5
20180407T12Z,-5
20180407T11Z,-6
20180407T10Z,-4
20180407T09Z,-6
20180407T08Z,-5
20180407T07Z,-5
20180407T06Z,-5
20180407T05Z,-6
20180407T04Z,-5
20180407T03Z,-5
20180407T02Z,-5
20180407T01Z,-5
20180407T00Z,-5
20180406T23Z,-5
20180406T22Z,-7
20180406T21Z,-6
20180406T20Z,-6
20180406T19Z,-3
