,Total interchange1
20191101T08-05,-672
20191101T07-05,-97
20191101T06-05,151
20191101T05-05,471
20191101T04-05,698
20191101T03-05,634
20191101T02-05,688
20191101T01-05,612
20191101T00-05,964
20191031T23-05,655
20191031T22-05,752
20191031T21-05,269
20191031T20-05,-504
20191031T19-05,-845
20191031T18-05,-373
20191031T17-05,-467
20191031T16-05,-446
20191031T15-05,-198
20191031T14-05,-323
20191031T13-05,-554
20191031T12-05,-575
20191031T11-05,-908
20191031T10-05,-857
20191031T09-05,-554
20191031T08-05,-446
20191031T07-05,-152
20191031T06-05,359
20191031T05-05,34
20191031T04-05,102
20191031T03-05,-15
20191031T02-05,-122
20191031T01-05,144
20191031T00-05,141
20191030T23-05,344
20191030T22-05,203
20191030T21-05,-107
20191030T20-05,-190
20191030T19-05,-101
20191030T18-05,164
20191030T17-05,282
20191030T16-05,127
20191030T15-05,154
20191030T14-05,185
20191030T13-05,152
20191030T12-05,324
20191030T11-05,955
20191030T10-05,571
20191030T09-05,509
20191030T08-05,997
20191030T07-05,931
20191030T06-05,743
20191030T05-05,741
20191030T04-05,784
20191030T03-05,781
20191030T02-05,957
20191030T01-05,926
20191030T00-05,916
20191029T23-05,919
20191029T22-05,507
20191029T21-05,305
20191029T20-05,278
20191029T19-05,102
20191029T18-05,305
20191029T17-05,196
20191029T16-05,176
20191029T15-05,190
20191029T14-05,-43
20191029T13-05,-139
20191029T12-05,83
20191029T11-05,-136
20191029T10-05,-141
20191029T09-05,52
20191029T08-05,-25
20191029T07-05,-45
20191029T06-05,-327
20191029T05-05,-227
20191029T04-05,-142
20191029T03-05,-94
20191029T02-05,80
20191029T01-05,100
20191029T00-05,-131
20191028T23-05,-82
20191028T22-05,-144
20191028T21-05,-114
20191028T20-05,-697
20191028T19-05,-607
20191028T18-05,-342
20191028T17-05,-131
20191028T16-05,-160
20191028T15-05,-322
20191028T14-05,-553
20191028T13-05,-705
20191028T12-05,-430
20191028T11-05,-458
20191028T10-05,-324
20191028T09-05,-238
20191028T08-05,-160
20191028T07-05,20
20191028T06-05,467
20191028T05-05,555
20191028T04-05,874
20191028T03-05,948
20191028T02-05,840
20191028T01-05,902
20191028T00-05,781
20191027T23-05,974
20191027T22-05,883
20191027T21-05,491
20191027T20-05,431
20191027T19-05,87
20191027T18-05,220
20191027T17-05,275
20191027T16-05,417
20191027T15-05,567
20191027T14-05,508
20191027T13-05,407
20191027T12-05,393
20191027T11-05,108
20191027T10-05,-44
20191027T09-05,204
20191027T08-05,871
20191027T07-05,786
20191027T06-05,732
20191027T05-05,1021
20191027T04-05,726
20191027T03-05,882
20191027T02-05,919
20191027T01-05,1290
