,Total interchange
20191030T01Z,937
20191030T00Z,920
20191029T23Z,966
20191029T22Z,1028
20191029T21Z,1026
20191029T20Z,1009
20191029T19Z,1044
20191029T18Z,984
20191029T17Z,1005
20191029T16Z,981
20191029T15Z,970
20191029T14Z,923
20191029T13Z,936
20191029T12Z,890
20191029T11Z,884
20191029T10Z,765
20191029T09Z,686
20191029T08Z,683
20191029T07Z,711
20191029T06Z,709
20191029T05Z,743
20191029T04Z,918
20191029T03Z,954
20191029T02Z,924
20191029T01Z,963
20191029T00Z,934
20191028T23Z,1013
20191028T22Z,1004
20191028T21Z,955
20191028T20Z,872
20191028T19Z,885
20191028T18Z,908
20191028T17Z,825
20191028T16Z,770
20191028T15Z,778
20191028T14Z,740
20191028T13Z,729
20191028T12Z,711
20191028T11Z,707
20191028T10Z,672
20191028T09Z,668
20191028T08Z,658
20191028T07Z,610
20191028T06Z,601
20191028T05Z,567
20191028T04Z,768
20191028T03Z,871
20191028T02Z,978
20191028T01Z,1162
20191028T00Z,1301
20191027T23Z,1362
20191027T22Z,1401
20191027T21Z,1394
20191027T20Z,1346
20191027T19Z,1329
20191027T18Z,1389
20191027T17Z,1431
20191027T16Z,1409
20191027T15Z,1376
20191027T14Z,1167
20191027T13Z,1077
20191027T12Z,1074
20191027T11Z,1023
20191027T10Z,979
20191027T09Z,992
20191027T08Z,988
20191027T07Z,1040
20191027T06Z,1092
20191027T05Z,1088
20191027T04Z,1247
20191027T03Z,1302
20191027T02Z,1246
20191027T01Z,1241
20191027T00Z,1242
20191026T23Z,1212
20191026T22Z,1267
20191026T21Z,1303
20191026T20Z,1362
20191026T19Z,1343
20191026T18Z,1297
20191026T17Z,1239
20191026T16Z,1270
20191026T15Z,1288
20191026T14Z,1199
20191026T13Z,1116
20191026T12Z,1069
20191026T11Z,1015
20191026T10Z,965
20191026T09Z,976
20191026T08Z,990
20191026T07Z,1040
20191026T06Z,1086
20191026T05Z,1087
20191026T04Z,1159
20191026T03Z,1264
20191026T02Z,1284
20191026T01Z,1254
20191026T00Z,1266
20191025T23Z,1200
20191025T22Z,1263
20191025T21Z,1331
20191025T20Z,1349
20191025T19Z,1330
20191025T18Z,1314
20191025T17Z,1335
20191025T16Z,1383
20191025T15Z,1351
20191025T14Z,1302
20191025T13Z,1226
20191025T12Z,1181
20191025T11Z,1053
20191025T10Z,918
20191025T09Z,848
20191025T08Z,846
20191025T07Z,879
20191025T06Z,944
20191025T05Z,1034
20191025T04Z,939
20191025T03Z,1306
20191025T02Z,1337
20191025T01Z,1333
20191025T00Z,1299
20191024T23Z,1290
20191024T22Z,1375
20191024T21Z,1390
20191024T20Z,1396
20191024T19Z,1358
20191024T18Z,1380
20191024T17Z,1393
20191024T16Z,1248
20191024T15Z,1266
20191024T14Z,1146
20191024T13Z,1049
20191024T12Z,1033
20191024T11Z,876
20191024T10Z,734
20191024T09Z,662
20191024T08Z,654
20191024T07Z,678
20191024T06Z,711
20191024T05Z,798
20191024T04Z,988
20191024T03Z,1173
20191024T02Z,1346
20191024T01Z,1401
20191024T00Z,1411
20191023T23Z,1444
20191023T22Z,1452
20191023T21Z,1452
20191023T20Z,1425
20191023T19Z,1311
20191023T18Z,1218
20191023T17Z,1175
20191023T16Z,1149
20191023T15Z,1131
20191023T14Z,1089
20191023T13Z,1028
20191023T12Z,1042
20191023T11Z,916
20191023T10Z,784
20191023T09Z,735
20191023T08Z,756
20191023T07Z,807
20191023T06Z,890
20191023T05Z,981
20191023T04Z,1131
20191023T03Z,1273
20191023T02Z,1309
20191023T01Z,1361
20191023T00Z,1339
20191022T23Z,1321
20191022T22Z,1353
20191022T21Z,1343
20191022T20Z,1334
20191022T19Z,1299
20191022T18Z,1362
20191022T17Z,1384
20191022T16Z,1351
20191022T15Z,1323
20191022T14Z,1226
20191022T13Z,1226
20191022T12Z,1200
20191022T11Z,1082
20191022T10Z,928
20191022T09Z,863
20191022T08Z,882
20191022T07Z,846
20191022T06Z,898
20191022T05Z,965
20191022T04Z,955
20191022T03Z,1113
20191022T02Z,1237
20191022T01Z,1369
20191022T00Z,1402
20191021T23Z,1364
20191021T22Z,1340
20191021T21Z,1276
20191021T20Z,1267
20191021T19Z,1226
20191021T18Z,1213
20191021T17Z,1117
20191021T16Z,1004
20191021T15Z,952
20191021T14Z,919
20191021T13Z,883
20191021T12Z,852
20191021T11Z,735
20191021T10Z,611
20191021T09Z,577
20191021T08Z,557
20191021T07Z,562
20191021T06Z,563
20191021T05Z,632
20191021T04Z,974
20191021T03Z,1109
20191021T02Z,1232
20191021T01Z,1258
20191021T00Z,1279
20191020T23Z,1316
20191020T22Z,1328
20191020T21Z,1293
20191020T20Z,1281
20191020T19Z,1282
20191020T18Z,1251
20191020T17Z,1264
20191020T16Z,1257
20191020T15Z,1194
20191020T14Z,1129
20191020T13Z,957
20191020T12Z,831
20191020T11Z,791
20191020T10Z,746
20191020T09Z,719
20191020T08Z,761
20191020T07Z,805
20191020T06Z,882
20191020T05Z,977
20191020T04Z,1095
20191020T03Z,1224
20191020T02Z,1231
20191020T01Z,1281
20191020T00Z,1308
20191019T23Z,1347
20191019T22Z,1395
20191019T21Z,1393
20191019T20Z,1328
20191019T19Z,1295
20191019T18Z,1167
20191019T17Z,953
20191019T16Z,734
20191019T15Z,737
20191019T14Z,749
20191019T13Z,770
20191019T12Z,787
20191019T11Z,785
20191019T10Z,725
20191019T09Z,690
20191019T08Z,690
20191019T07Z,696
20191019T06Z,719
20191019T05Z,769
20191019T04Z,850
20191019T03Z,1030
20191019T02Z,1028
20191019T01Z,1089
20191019T00Z,1131
20191018T23Z,1110
20191018T22Z,1021
20191018T21Z,903
20191018T20Z,849
20191018T19Z,917
20191018T18Z,987
20191018T17Z,847
20191018T16Z,825
20191018T15Z,845
20191018T14Z,847
20191018T13Z,815
20191018T12Z,807
20191018T11Z,747
20191018T10Z,662
20191018T09Z,622
20191018T08Z,621
20191018T07Z,623
20191018T06Z,661
20191018T05Z,758
20191018T04Z,1175
20191018T03Z,586
20191018T02Z,1091
20191018T01Z,1191
20191018T00Z,1256
20191017T23Z,1231
20191017T22Z,1215
20191017T21Z,1236
20191017T20Z,1257
20191017T19Z,1288
20191017T18Z,1204
20191017T17Z,1128
20191017T16Z,1112
20191017T15Z,1064
20191017T14Z,1026
20191017T13Z,946
20191017T12Z,921
20191017T11Z,819
20191017T10Z,704
20191017T09Z,653
20191017T08Z,676
20191017T07Z,700
20191017T06Z,776
20191017T05Z,889
20191017T04Z,1117
20191017T03Z,1319
20191017T02Z,1365
20191017T01Z,1356
20191017T00Z,1334
20191016T23Z,1290
20191016T22Z,1275
20191016T21Z,1251
20191016T20Z,1301
20191016T19Z,1248
20191016T18Z,1308
20191016T17Z,1418
20191016T16Z,1470
20191016T15Z,1425
20191016T14Z,1328
20191016T13Z,1184
20191016T12Z,1187
20191016T11Z,1078
20191016T10Z,945
20191016T09Z,875
20191016T08Z,882
20191016T07Z,900
20191016T06Z,962
20191016T05Z,1011
20191016T04Z,1188
20191016T03Z,1306
20191016T02Z,1287
20191016T01Z,1236
20191016T00Z,1258
20191015T23Z,1252
20191015T22Z,1323
20191015T21Z,1325
20191015T20Z,1251
20191015T19Z,1317
20191015T18Z,1290
20191015T17Z,1295
20191015T16Z,1317
20191015T15Z,1258
20191015T14Z,1218
20191015T13Z,1149
20191015T12Z,1138
20191015T11Z,996
20191015T10Z,836
20191015T09Z,793
20191015T08Z,783
20191015T07Z,819
20191015T06Z,888
20191015T05Z,1006
20191015T04Z,1207
20191015T03Z,1342
20191015T02Z,1347
20191015T01Z,1378
20191015T00Z,1255
20191014T23Z,1234
20191014T22Z,1273
20191014T21Z,1295
20191014T20Z,1326
20191014T19Z,1300
20191014T18Z,1305
20191014T17Z,1362
20191014T16Z,1381
20191014T15Z,1368
20191014T14Z,1226
20191014T13Z,1086
20191014T12Z,1045
