,Total interchange1
20191224T17-05,-1335
20191224T16-05,-1394
20191224T15-05,-1372
20191224T14-05,-1371
20191224T13-05,-1501
20191224T12-05,-1366
20191224T11-05,-1388
20191224T10-05,-1362
20191224T09-05,-1280
20191224T08-05,-1214
20191224T07-05,-1099
20191224T06-05,-991
20191224T05-05,-951
20191224T04-05,-917
20191224T03-05,-913
20191224T02-05,-939
20191224T01-05,-979
20191224T00-05,-1057
20191223T23-05,-1134
20191223T22-05,-1158
20191223T21-05,-1271
20191223T20-05,-1315
20191223T19-05,-1344
20191223T18-05,-1323
20191223T17-05,-1302
20191223T16-05,-1369
20191223T15-05,-1374
20191223T14-05,-1371
20191223T13-05,-1371
20191223T12-05,-1256
20191223T11-05,-1260
20191223T10-05,-1167
20191223T09-05,-1024
20191223T08-05,-999
20191223T07-05,-1021
20191223T06-05,-907
20191223T05-05,-837
20191223T04-05,-817
20191223T03-05,-828
20191223T02-05,-839
20191223T01-05,-890
20191223T00-05,-1011
20191222T23-05,-1062
20191222T22-05,-1107
20191222T21-05,-1323
20191222T20-05,-1446
20191222T19-05,-1440
20191222T18-05,-1354
20191222T17-05,-1307
20191222T16-05,-1301
20191222T15-05,-1290
20191222T14-05,-1221
20191222T13-05,-1292
20191222T12-05,-1225
20191222T11-05,-1221
20191222T10-05,-1197
20191222T09-05,-1115
20191222T08-05,-1001
20191222T07-05,-915
20191222T06-05,-856
20191222T05-05,-834
20191222T04-05,-819
20191222T03-05,-829
20191222T02-05,-853
20191222T01-05,-907
20191222T00-05,-1014
20191221T23-05,-1070
20191221T22-05,-1137
20191221T21-05,-1292
20191221T20-05,-1331
20191221T19-05,-1369
20191221T18-05,-1380
20191221T17-05,-1302
20191221T16-05,-1300
20191221T15-05,-1299
20191221T14-05,-1289
20191221T13-05,-1274
20191221T12-05,-1185
20191221T11-05,-1219
20191221T10-05,-1189
20191221T09-05,-1140
20191221T08-05,-1097
20191221T07-05,-1040
20191221T06-05,-966
20191221T05-05,-917
20191221T04-05,-891
20191221T03-05,-893
20191221T02-05,-916
20191221T01-05,-962
20191221T00-05,-1031
20191220T23-05,-1114
20191220T22-05,-1199
20191220T21-05,-1255
20191220T20-05,-1286
20191220T19-05,-1313
20191220T18-05,-1223
20191220T17-05,-1143
20191220T16-05,-1129
20191220T15-05,-1121
20191220T14-05,-1147
20191220T13-05,-1188
20191220T12-05,-1223
20191220T11-05,-1291
20191220T10-05,-1399
20191220T09-05,-1472
20191220T08-05,-1486
20191220T07-05,-1457
20191220T06-05,-1310
20191220T05-05,-1201
20191220T04-05,-1153
20191220T03-05,-1130
20191220T02-05,-1141
20191220T01-05,-1166
20191220T00-05,-1228
20191219T23-05,-1334
20191219T22-05,-1419
20191219T21-05,-1485
20191219T20-05,-1488
20191219T19-05,-1480
20191219T18-05,-1368
20191219T17-05,-1221
20191219T16-05,-1186
20191219T15-05,-1173
20191219T14-05,-1218
20191219T13-05,-1303
20191219T12-05,-1612
20191219T11-05,-1929
20191219T10-05,-2238
20191219T09-05,-2224
20191219T08-05,-2235
20191219T07-05,-2208
20191219T06-05,-2198
20191219T05-05,-1921
20191219T04-05,-1808
20191219T03-05,-1739
20191219T02-05,-1718
20191219T01-05,-1721
20191219T00-05,-1737
20191218T23-05,-2008
20191218T22-05,-1994
20191218T21-05,-1979
20191218T20-05,-1987
20191218T19-05,-1998
20191218T18-05,-1774
20191218T17-05,-1443
20191218T16-05,-1373
20191218T15-05,-1340
20191218T14-05,-1373
20191218T13-05,-1377
20191218T12-05,-1398
20191218T11-05,-1500
20191218T10-05,-1503
20191218T09-05,-1472
20191218T08-05,-1434
20191218T07-05,-1335
20191218T06-05,-1147
20191218T05-05,-1019
20191218T04-05,-959
20191218T03-05,-973
20191218T02-05,-999
20191218T01-05,-1038
20191218T00-05,-1246
20191217T23-05,-1377
20191217T22-05,-1681
20191217T21-05,-1863
20191217T20-05,-1835
20191217T19-05,-1901
20191217T18-05,-1974
20191217T17-05,-1921
20191217T16-05,-1926
20191217T15-05,-1969
20191217T14-05,-1962
20191217T13-05,-1871
20191217T12-05,-1612
20191217T11-05,-1465
20191217T10-05,-1172
20191217T09-05,-1100
20191217T08-05,-1093
20191217T07-05,-1066
20191217T06-05,-926
20191217T05-05,-841
20191217T04-05,-806
20191217T03-05,-823
20191217T02-05,-840
20191217T01-05,-899
20191217T00-05,-957
20191216T23-05,-1135
20191216T22-05,-1406
20191216T21-05,-1731
20191216T20-05,-1823
20191216T19-05,-1879
20191216T18-05,-1774
20191216T17-05,-1708
20191216T16-05,-1673
20191216T15-05,-1646
20191216T14-05,-1615
20191216T13-05,-1580
20191216T12-05,-1390
20191216T11-05,-1336
20191216T10-05,-1178
20191216T09-05,-1224
20191216T08-05,-1258
20191216T07-05,-1225
20191216T06-05,-1060
20191216T05-05,-962
20191216T04-05,-921
20191216T03-05,-875
20191216T02-05,-902
20191216T01-05,-937
20191216T00-05,-1006
20191215T23-05,-1089
20191215T22-05,-1201
20191215T21-05,-1269
20191215T20-05,-1308
20191215T19-05,-1354
20191215T18-05,-1255
20191215T17-05,-1197
20191215T16-05,-1185
20191215T15-05,-1186
20191215T14-05,-1178
20191215T13-05,-1213
20191215T12-05,-1226
20191215T11-05,-1292
20191215T10-05,-1406
20191215T09-05,-1436
20191215T08-05,-1345
20191215T07-05,-1204
20191215T06-05,-1085
20191215T05-05,-1020
20191215T04-05,-976
20191215T03-05,-965
20191215T02-05,-967
20191215T01-05,-977
20191215T00-05,-1057
20191214T23-05,-1140
20191214T22-05,-1364
20191214T21-05,-1433
20191214T20-05,-1463
20191214T19-05,-1495
20191214T18-05,-1334
20191214T17-05,-1235
20191214T16-05,-1234
20191214T15-05,-1232
20191214T14-05,-1250
20191214T13-05,-1177
20191214T12-05,-1211
20191214T11-05,-1196
20191214T10-05,-988
20191214T09-05,-813
20191214T08-05,-878
20191214T07-05,-939
20191214T06-05,-880
20191214T05-05,-840
20191214T04-05,-814
20191214T03-05,-835
20191214T02-05,-859
20191214T01-05,-937
20191214T00-05,-1028
20191213T23-05,-1131
20191213T22-05,-1316
20191213T21-05,-1382
20191213T20-05,-1507
20191213T19-05,-1459
20191213T18-05,-1368
20191213T17-05,-1300
20191213T16-05,-1277
20191213T15-05,-1273
20191213T14-05,-1274
20191213T13-05,-1327
20191213T12-05,-1338
20191213T11-05,-1318
20191213T10-05,-1192
20191213T09-05,-1138
20191213T08-05,-1121
20191213T07-05,-1053
20191213T06-05,-922
20191213T05-05,-844
20191213T04-05,-797
20191213T03-05,-807
20191213T02-05,-831
