,Total interchange1
20191205T09-06,606
20191205T08-06,417
20191205T07-06,293
20191205T06-06,414
20191205T05-06,327
20191205T04-06,809
20191205T03-06,803
20191205T02-06,821
20191205T01-06,889
20191205T00-06,917
20191204T23-06,999
20191204T22-06,823
20191204T21-06,858
20191204T20-06,781
20191204T19-06,796
20191204T18-06,1018
20191204T17-06,1099
20191204T16-06,991
20191204T15-06,1123
20191204T14-06,1187
20191204T13-06,1228
20191204T12-06,1082
20191204T11-06,842
20191204T10-06,771
20191204T09-06,740
20191204T08-06,800
20191204T07-06,778
20191204T06-06,759
20191204T05-06,614
20191204T04-06,914
20191204T03-06,936
20191204T02-06,830
20191204T01-06,988
20191204T00-06,852
20191203T23-06,376
20191203T22-06,741
20191203T21-06,703
20191203T20-06,746
20191203T19-06,764
20191203T18-06,1062
20191203T17-06,907
20191203T16-06,706
20191203T15-06,756
20191203T14-06,715
20191203T13-06,680
20191203T12-06,666
20191203T11-06,426
20191203T10-06,-39
20191203T09-06,-215
20191203T08-06,43
20191203T07-06,219
20191203T06-06,-41
20191203T05-06,-218
20191203T04-06,71
20191203T03-06,295
20191203T02-06,122
20191203T01-06,111
20191203T00-06,332
20191202T23-06,305
20191202T22-06,684
20191202T21-06,784
20191202T20-06,572
20191202T19-06,807
20191202T18-06,1047
20191202T17-06,1139
20191202T16-06,1025
20191202T15-06,1358
20191202T14-06,1490
20191202T13-06,1239
20191202T12-06,988
20191202T11-06,1011
20191202T10-06,1035
20191202T09-06,997
20191202T08-06,929
20191202T07-06,733
20191202T06-06,308
20191202T05-06,514
20191202T04-06,916
20191202T03-06,978
20191202T02-06,805
20191202T01-06,882
20191202T00-06,914
20191201T23-06,870
20191201T22-06,978
20191201T21-06,1052
20191201T20-06,1115
20191201T19-06,1333
20191201T18-06,1420
20191201T17-06,1283
20191201T16-06,1217
20191201T15-06,1243
20191201T14-06,1250
20191201T13-06,1250
20191201T12-06,1284
20191201T11-06,1157
20191201T10-06,1136
20191201T09-06,1266
20191201T08-06,947
20191201T07-06,761
20191201T06-06,858
20191201T05-06,864
20191201T04-06,819
20191201T03-06,769
20191201T02-06,732
20191201T01-06,772
20191201T00-06,770
20191130T23-06,827
20191130T22-06,1043
20191130T21-06,1137
20191130T20-06,1192
20191130T19-06,1106
20191130T18-06,1080
20191130T17-06,1008
20191130T16-06,1021
20191130T15-06,962
20191130T14-06,967
20191130T13-06,947
20191130T12-06,931
20191130T11-06,818
20191130T10-06,868
20191130T09-06,703
20191130T08-06,655
20191130T07-06,518
20191130T06-06,504
20191130T05-06,523
20191130T04-06,762
20191130T03-06,774
20191130T02-06,893
20191130T01-06,1004
20191130T00-06,1273
20191129T23-06,1283
20191129T22-06,1293
20191129T21-06,1472
20191129T20-06,1440
20191129T19-06,1351
20191129T18-06,1192
20191129T17-06,1020
20191129T16-06,1147
20191129T15-06,1276
20191129T14-06,1285
20191129T13-06,1282
20191129T12-06,1235
20191129T11-06,1226
20191129T10-06,1312
20191129T09-06,1252
20191129T08-06,1014
20191129T07-06,1153
20191129T06-06,1069
20191129T05-06,960
20191129T04-06,1275
20191129T03-06,1304
20191129T02-06,1317
20191129T01-06,1305
20191129T00-06,1187
20191128T23-06,1287
20191128T22-06,1061
20191128T21-06,1206
20191128T20-06,1196
20191128T19-06,1216
20191128T18-06,1168
20191128T17-06,1273
20191128T16-06,1253
20191128T15-06,1307
20191128T14-06,1317
20191128T13-06,1301
20191128T12-06,1253
20191128T11-06,1271
20191128T10-06,1226
20191128T09-06,691
20191128T08-06,660
20191128T07-06,249
20191128T06-06,396
20191128T05-06,630
20191128T04-06,1005
20191128T03-06,1009
20191128T02-06,994
20191128T01-06,1108
20191128T00-06,1271
20191127T23-06,1185
20191127T22-06,1180
20191127T21-06,1377
20191127T20-06,1551
20191127T19-06,1667
20191127T18-06,1712
20191127T17-06,1833
20191127T16-06,1605
20191127T15-06,1536
20191127T14-06,1517
20191127T13-06,1442
20191127T12-06,1362
20191127T11-06,1540
20191127T10-06,1412
20191127T09-06,1052
20191127T08-06,875
20191127T07-06,977
20191127T06-06,613
20191127T05-06,455
20191127T04-06,737
20191127T03-06,727
20191127T02-06,770
20191127T01-06,911
20191127T00-06,920
20191126T23-06,1040
20191126T22-06,1078
20191126T21-06,1423
20191126T20-06,1479
20191126T19-06,1303
20191126T18-06,1793
20191126T17-06,1621
20191126T16-06,1517
20191126T15-06,1295
20191126T14-06,1433
20191126T13-06,1633
20191126T12-06,1577
20191126T11-06,1468
20191126T10-06,1503
20191126T09-06,1247
20191126T08-06,1367
20191126T07-06,1678
20191126T06-06,1485
20191126T05-06,892
20191126T04-06,1036
20191126T03-06,995
20191126T02-06,1128
20191126T01-06,1186
20191126T00-06,1258
20191125T23-06,1055
20191125T22-06,1223
20191125T21-06,1266
20191125T20-06,1204
20191125T19-06,1463
20191125T18-06,1498
20191125T17-06,1655
20191125T16-06,1682
20191125T15-06,1639
20191125T14-06,1540
20191125T13-06,1459
20191125T12-06,1482
20191125T11-06,1448
20191125T10-06,1296
20191125T09-06,1313
20191125T08-06,1233
20191125T07-06,1382
20191125T06-06,1036
20191125T05-06,649
20191125T04-06,631
20191125T03-06,1253
20191125T02-06,1277
20191125T01-06,1264
20191125T00-06,1436
20191124T23-06,1490
20191124T22-06,1416
20191124T21-06,1275
20191124T20-06,1403
20191124T19-06,1531
20191124T18-06,1654
20191124T17-06,1734
20191124T16-06,1475
20191124T15-06,1491
20191124T14-06,1450
20191124T13-06,1392
20191124T12-06,1381
20191124T11-06,1359
20191124T10-06,1332
20191124T09-06,1418
20191124T08-06,1488
20191124T07-06,1385
20191124T06-06,1369
20191124T05-06,1375
20191124T04-06,1420
20191124T03-06,1386
20191124T02-06,1346
20191124T01-06,1375
20191124T00-06,1329
20191123T23-06,1488
20191123T22-06,1531
20191123T21-06,1827
20191123T20-06,1925
20191123T19-06,2042
20191123T18-06,2331
20191123T17-06,2255
20191123T16-06,2125
20191123T15-06,1947
20191123T14-06,2009
20191123T13-06,2008
20191123T12-06,2068
20191123T11-06,2041
20191123T10-06,2088
20191123T09-06,1816
20191123T08-06,1630
20191123T07-06,1501
20191123T06-06,1472
20191123T05-06,1565
20191123T04-06,1480
20191123T03-06,1648
20191123T02-06,1633
20191123T01-06,1647
20191123T00-06,1648
