,Total interchange1
20191101T22-07,-1786
20191101T21-07,-1914
20191101T20-07,-1881
20191101T19-07,-1906
20191101T18-07,-1830
20191101T17-07,-1747
20191101T16-07,-1804
20191101T15-07,-1917
20191101T14-07,-1952
20191101T13-07,-1917
20191101T12-07,-1974
20191101T11-07,-1955
20191101T10-07,-2084
20191101T09-07,-2017
20191101T08-07,-1738
20191101T07-07,-1598
20191101T06-07,-1467
20191101T05-07,-1574
20191101T04-07,-1543
20191101T03-07,-1541
20191101T02-07,-1532
20191101T01-07,-1571
20191101T00-07,-1603
20191031T23-07,-1668
20191031T22-07,-1802
20191031T21-07,-1863
20191031T20-07,-1855
20191031T19-07,-1892
20191031T18-07,-1828
20191031T17-07,-1785
20191031T16-07,-1848
20191031T15-07,-1902
20191031T14-07,-1965
20191031T13-07,-2009
20191031T12-07,-2104
20191031T11-07,-2217
20191031T10-07,-2294
20191031T09-07,-2329
20191031T08-07,-2154
20191031T07-07,-1955
20191031T06-07,-1830
20191031T05-07,-1650
20191031T04-07,-1576
20191031T03-07,-1541
20191031T02-07,-1548
20191031T01-07,-1607
20191031T00-07,-1706
20191030T23-07,-1866
20191030T22-07,-2050
20191030T21-07,-2146
20191030T20-07,-2071
20191030T19-07,-2020
20191030T18-07,-2021
20191030T17-07,-2010
20191030T16-07,-2015
20191030T15-07,-1989
20191030T14-07,-1778
20191030T13-07,-1826
20191030T12-07,-2194
20191030T11-07,-2097
20191030T10-07,-2306
20191030T09-07,-2187
20191030T08-07,-2116
20191030T07-07,-1943
20191030T06-07,-1696
20191030T05-07,-1645
20191030T04-07,-1648
20191030T03-07,-1642
20191030T02-07,-1558
20191030T01-07,-1578
20191030T00-07,-1696
20191029T23-07,-1877
20191029T22-07,-2148
20191029T21-07,-2070
20191029T20-07,-2134
20191029T19-07,-1984
20191029T18-07,-1953
20191029T17-07,-2088
20191029T16-07,-2053
20191029T15-07,-2106
20191029T14-07,-2164
20191029T13-07,-2209
20191029T12-07,-2275
20191029T11-07,-2263
20191029T10-07,-2303
20191029T09-07,-2345
20191029T08-07,-2305
20191029T07-07,-2198
20191029T06-07,-1849
20191029T05-07,-1705
20191029T04-07,-1655
20191029T03-07,-1624
20191029T02-07,-1632
20191029T01-07,-1663
20191029T00-07,-1695
20191028T23-07,-1798
20191028T22-07,-1958
20191028T21-07,-2060
20191028T20-07,-1946
20191028T19-07,-1845
20191028T18-07,-1815
20191028T17-07,-1874
20191028T16-07,-1881
20191028T15-07,-1906
20191028T14-07,-1982
20191028T13-07,-2030
20191028T12-07,-2069
20191028T11-07,-2132
20191028T10-07,-2204
20191028T09-07,-2220
20191028T08-07,-2206
20191028T07-07,-2028
20191028T06-07,-1679
20191028T05-07,-1493
20191028T04-07,-1424
20191028T03-07,-1379
20191028T02-07,-1381
20191028T01-07,-1382
20191028T00-07,-1462
20191027T23-07,-1604
20191027T22-07,-1763
20191027T21-07,-1717
20191027T20-07,-1733
20191027T19-07,-1724
20191027T18-07,-1571
20191027T17-07,-1645
20191027T16-07,-1727
20191027T15-07,-1737
20191027T14-07,-1809
20191027T13-07,-1811
20191027T12-07,-1898
20191027T11-07,-1883
20191027T10-07,-1823
20191027T09-07,-1713
20191027T08-07,-1530
20191027T07-07,-1412
20191027T06-07,-1307
20191027T05-07,-1299
20191027T04-07,-1310
20191027T03-07,-1311
20191027T02-07,-1338
20191027T01-07,-1371
20191027T00-07,-1374
20191026T23-07,-1504
20191026T22-07,-1676
20191026T21-07,-1821
20191026T20-07,-1798
20191026T19-07,-1806
20191026T18-07,-1682
20191026T17-07,-1615
20191026T16-07,-1640
20191026T15-07,-1615
20191026T14-07,-1681
20191026T13-07,-1644
20191026T12-07,-1755
20191026T11-07,-1816
20191026T10-07,-1837
20191026T09-07,-1737
20191026T08-07,-1659
20191026T07-07,-1549
20191026T06-07,-1507
20191026T05-07,-1379
20191026T04-07,-1327
20191026T03-07,-1290
20191026T02-07,-1321
20191026T01-07,-1338
20191026T00-07,-1387
20191025T23-07,-1558
20191025T22-07,-1760
20191025T21-07,-1868
20191025T20-07,-1792
20191025T19-07,-1886
20191025T18-07,-1734
20191025T17-07,-1817
20191025T16-07,-1781
20191025T15-07,-1784
20191025T14-07,-1828
20191025T13-07,-1814
20191025T12-07,-1886
20191025T11-07,-1955
20191025T10-07,-1941
20191025T09-07,-1924
20191025T08-07,-1889
20191025T07-07,-1671
20191025T06-07,-1419
20191025T05-07,-1288
20191025T04-07,-1241
20191025T03-07,-1203
20191025T02-07,-1198
20191025T01-07,-1196
20191025T00-07,-1303
20191024T23-07,-1443
20191024T22-07,-1689
20191024T21-07,-1817
20191024T20-07,-1900
20191024T19-07,-1778
20191024T18-07,-1719
20191024T17-07,-1720
20191024T16-07,-1688
20191024T15-07,-1709
20191024T14-07,-1714
20191024T13-07,-1730
20191024T12-07,-1770
20191024T11-07,-1826
20191024T10-07,-1912
20191024T09-07,-1981
20191024T08-07,-1966
20191024T07-07,-1790
20191024T06-07,-1495
20191024T05-07,-1347
20191024T04-07,-1308
20191024T03-07,-1291
20191024T02-07,-1281
20191024T01-07,-1336
20191024T00-07,-1407
20191023T23-07,-1573
20191023T22-07,-1821
20191023T21-07,-1895
20191023T20-07,-1834
20191023T19-07,-1819
20191023T18-07,-1789
20191023T17-07,-1707
20191023T16-07,-1727
20191023T15-07,-1636
20191023T14-07,-1586
20191023T13-07,-1774
20191023T12-07,-1837
20191023T11-07,-1893
20191023T10-07,-1950
20191023T09-07,-1963
20191023T08-07,-1765
20191023T07-07,-1734
20191023T06-07,-1410
20191023T05-07,-1254
20191023T04-07,-1234
20191023T03-07,-1250
20191023T02-07,-1249
20191023T01-07,-1201
20191023T00-07,-1286
20191022T23-07,-1431
20191022T22-07,-1670
20191022T21-07,-1803
20191022T20-07,-1749
20191022T19-07,-1596
20191022T18-07,-1651
20191022T17-07,-1681
20191022T16-07,-1699
20191022T15-07,-1731
20191022T14-07,-1734
20191022T13-07,-1776
20191022T12-07,-1837
20191022T11-07,-1943
20191022T10-07,-1865
20191022T09-07,-1804
20191022T08-07,-1764
20191022T07-07,-1656
20191022T06-07,-1389
20191022T05-07,-1213
20191022T04-07,-1148
20191022T03-07,-1161
20191022T02-07,-1202
20191022T01-07,-1217
20191022T00-07,-1349
20191021T23-07,-1517
20191021T22-07,-1693
20191021T21-07,-1859
20191021T20-07,-1952
20191021T19-07,-1906
20191021T18-07,-1710
20191021T17-07,-1802
20191021T16-07,-1849
20191021T15-07,-1855
20191021T14-07,-1922
20191021T13-07,-1893
20191021T12-07,-1888
20191021T11-07,-1896
20191021T10-07,-1902
20191021T09-07,-1889
20191021T08-07,-1859
20191021T07-07,-1695
20191021T06-07,-1379
20191021T05-07,-1170
20191021T04-07,-1176
20191021T03-07,-1176
20191021T02-07,-1200
20191021T01-07,-1204
