,Total interchange1
20191102T21-04,-3604
20191102T20-04,-3609
20191102T19-04,-3366
20191102T18-04,-3714
20191102T17-04,-3552
20191102T16-04,-3413
20191102T15-04,-3543
20191102T14-04,-3596
20191102T13-04,-3726
20191102T12-04,-3880
20191102T11-04,-3779
20191102T10-04,-3590
20191102T09-04,-3831
20191102T08-04,-4136
20191102T07-04,-3513
20191102T06-04,-2633
20191102T05-04,-2470
20191102T04-04,-2582
20191102T03-04,-2501
20191102T02-04,-2985
20191102T01-04,-3135
20191102T00-04,-2654
20191101T23-04,-3312
20191101T22-04,-4005
20191101T21-04,-3726
20191101T20-04,-4021
20191101T19-04,-4027
20191101T18-04,-3740
20191101T17-04,-4273
20191101T16-04,-4541
20191101T15-04,-4733
20191101T14-04,-4868
20191101T13-04,-4793
20191101T12-04,-4734
20191101T11-04,-5167
20191101T10-04,-5137
20191101T09-04,-5453
20191101T08-04,-5371
20191101T07-04,-4594
20191101T06-04,-3843
20191101T05-04,-4036
20191101T04-04,-3934
20191101T03-04,-3786
20191101T02-04,-3775
20191101T01-04,-3954
20191101T00-04,-3873
20191031T23-04,-4001
20191031T22-04,-3859
20191031T21-04,-3714
20191031T20-04,-3368
20191031T19-04,-3035
20191031T18-04,-2959
20191031T17-04,-3143
20191031T16-04,-3219
20191031T15-04,-3081
20191031T14-04,-2756
20191031T13-04,-3132
20191031T12-04,-3077
20191031T11-04,-2966
20191031T10-04,-2892
20191031T09-04,-3169
20191031T08-04,-3622
20191031T07-04,-2811
20191031T06-04,-2882
20191031T05-04,-3123
20191031T04-04,-3300
20191031T03-04,-3274
20191031T02-04,-3137
20191031T01-04,-3926
20191031T00-04,-3821
20191030T23-04,-3523
20191030T22-04,-3640
20191030T21-04,-3966
20191030T20-04,-4011
20191030T19-04,-3550
20191030T18-04,-3704
20191030T17-04,-3617
20191030T16-04,-3584
20191030T15-04,-3569
20191030T14-04,-3725
20191030T13-04,-3601
20191030T12-04,-3850
20191030T11-04,-3926
20191030T10-04,-3841
20191030T09-04,-4429
20191030T08-04,-4659
20191030T07-04,-3876
20191030T06-04,-4336
20191030T05-04,-4210
20191030T04-04,-3970
20191030T03-04,-4123
20191030T02-04,-4094
20191030T01-04,-4196
20191030T00-04,-4891
20191029T23-04,-4849
20191029T22-04,-4950
20191029T21-04,-5181
20191029T20-04,-4879
20191029T19-04,-4380
20191029T18-04,-4299
20191029T17-04,-4423
20191029T16-04,-4299
20191029T15-04,-4110
20191029T14-04,-4210
20191029T13-04,-4236
20191029T12-04,-4838
20191029T11-04,-5072
20191029T10-04,-5278
20191029T09-04,-5091
20191029T08-04,-5447
20191029T07-04,-5006
20191029T06-04,-4725
20191029T05-04,-5207
20191029T04-04,-5494
20191029T03-04,-5226
20191029T02-04,-5263
20191029T01-04,-4281
20191029T00-04,-3574
20191028T23-04,-3380
20191028T22-04,-3805
20191028T21-04,-3590
20191028T20-04,-3499
20191028T19-04,-3117
20191028T18-04,-3167
20191028T17-04,-3370
20191028T16-04,-3363
20191028T15-04,-3305
20191028T14-04,-2841
20191028T13-04,-3476
20191028T12-04,-3568
20191028T11-04,-3673
20191028T10-04,-3620
20191028T09-04,-3830
20191028T08-04,-3876
20191028T07-04,-3759
20191028T06-04,-3801
20191028T05-04,-4991
20191028T04-04,-5178
20191028T03-04,-5479
20191028T02-04,-5436
20191028T01-04,-4056
20191028T00-04,-4099
20191027T23-04,-3365
20191027T22-04,-3520
20191027T21-04,-3899
20191027T20-04,-3262
20191027T19-04,-2997
20191027T18-04,-3508
20191027T17-04,-3492
20191027T16-04,-3480
20191027T15-04,-3574
20191027T14-04,-3583
20191027T13-04,-3748
20191027T12-04,-3068
20191027T11-04,-4064
20191027T10-04,-4497
20191027T09-04,-4973
20191027T08-04,-4752
20191027T07-04,-5232
20191027T06-04,-5752
20191027T05-04,-6208
20191027T04-04,-6321
20191027T03-04,-6511
20191027T02-04,-6467
20191027T01-04,-5937
20191027T00-04,-5833
20191026T23-04,-5455
20191026T22-04,-5151
20191026T21-04,-4245
20191026T20-04,-4187
20191026T19-04,-3996
20191026T18-04,-3992
20191026T17-04,-3875
20191026T16-04,-3458
20191026T15-04,-3400
20191026T14-04,-3296
20191026T13-04,-3094
20191026T12-04,-3211
20191026T11-04,-3301
20191026T10-04,-3460
20191026T09-04,-3291
20191026T08-04,-3349
20191026T07-04,-2954
20191026T06-04,-2758
20191026T05-04,-2367
20191026T04-04,-2420
20191026T03-04,-2438
20191026T02-04,-2372
20191026T01-04,-2290
20191026T00-04,-2733
20191025T23-04,-2841
20191025T22-04,-2982
20191025T21-04,-2689
20191025T20-04,-2934
20191025T19-04,-2929
20191025T18-04,-2717
20191025T17-04,-2302
20191025T16-04,-2588
20191025T15-04,-3016
20191025T14-04,-3004
20191025T13-04,-2997
20191025T12-04,-2994
20191025T11-04,-2792
20191025T10-04,-3108
20191025T09-04,-3757
20191025T08-04,-3145
20191025T07-04,-2718
20191025T06-04,-3716
20191025T05-04,-4425
20191025T04-04,-4361
20191025T03-04,-4333
20191025T02-04,-4305
20191025T01-04,-4258
20191025T00-04,-3745
20191024T23-04,-3917
20191024T22-04,-4409
20191024T21-04,-4328
20191024T20-04,-4407
20191024T19-04,-4386
20191024T18-04,-4559
20191024T17-04,-4689
20191024T16-04,-4347
20191024T15-04,-4329
20191024T14-04,-4052
20191024T13-04,-3780
20191024T12-04,-3811
20191024T11-04,-3826
20191024T10-04,-4388
20191024T09-04,-4546
20191024T08-04,-4135
20191024T07-04,-3708
20191024T06-04,-4042
20191024T05-04,-4769
20191024T04-04,-4716
20191024T03-04,-4840
20191024T02-04,-5019
20191024T01-04,-4572
20191024T00-04,-5042
20191023T23-04,-3992
20191023T22-04,-4066
20191023T21-04,-4205
20191023T20-04,-3870
20191023T19-04,-3084
20191023T18-04,-3580
20191023T17-04,-3223
20191023T16-04,-3131
20191023T15-04,-3312
20191023T14-04,-3763
20191023T13-04,-3986
20191023T12-04,-3928
20191023T11-04,-4054
20191023T10-04,-4085
20191023T09-04,-4665
20191023T08-04,-5571
20191023T07-04,-4887
20191023T06-04,-4446
20191023T05-04,-5371
20191023T04-04,-5134
20191023T03-04,-5653
20191023T02-04,-5040
20191023T01-04,-4813
20191023T00-04,-4069
20191022T23-04,-2693
20191022T22-04,-2713
20191022T21-04,-2585
20191022T20-04,-2275
20191022T19-04,-1916
20191022T18-04,-1797
20191022T17-04,-1676
20191022T16-04,-1900
20191022T15-04,-1698
20191022T14-04,-1871
20191022T13-04,-1707
20191022T12-04,-1847
20191022T11-04,-2177
20191022T10-04,-2288
20191022T09-04,-2843
20191022T08-04,-2247
20191022T07-04,-1388
20191022T06-04,-1674
20191022T05-04,-2206
20191022T04-04,-2639
20191022T03-04,-2509
20191022T02-04,-2357
20191022T01-04,-3110
20191022T00-04,-3007
20191021T23-04,-3005
20191021T22-04,-2456
20191021T21-04,-2261
20191021T20-04,-2287
20191021T19-04,-1791
20191021T18-04,-2348
20191021T17-04,-2611
20191021T16-04,-2133
20191021T15-04,-2952
20191021T14-04,-3574
20191021T13-04,-3847
20191021T12-04,-3737
20191021T11-04,-3680
20191021T10-04,-3831
20191021T09-04,-3745
20191021T08-04,-3379
20191021T07-04,-3600
20191021T06-04,-4043
20191021T05-04,-4941
20191021T04-04,-5468
20191021T03-04,-5596
20191021T02-04,-4828
20191021T01-04,-4295
20191021T00-04,-3954
20191020T23-04,-4268
20191020T22-04,-4058
20191020T21-04,-4285
20191020T20-04,-4510
20191020T19-04,-3784
20191020T18-04,-3875
20191020T17-04,-3939
20191020T16-04,-4523
20191020T15-04,-4640
20191020T14-04,-4623
20191020T13-04,-4776
20191020T12-04,-5084
20191020T11-04,-5371
20191020T10-04,-5338
20191020T09-04,-5402
20191020T08-04,-5534
20191020T07-04,-5551
20191020T06-04,-5756
20191020T05-04,-5969
20191020T04-04,-5914
20191020T03-04,-5524
20191020T02-04,-5320
20191020T01-04,-5633
20191020T00-04,-5604
20191019T23-04,-5061
20191019T22-04,-4734
20191019T21-04,-4497
20191019T20-04,-4447
20191019T19-04,-4389
20191019T18-04,-4444
20191019T17-04,-4387
20191019T16-04,-4535
20191019T15-04,-4733
20191019T14-04,-4978
20191019T13-04,-4497
20191019T12-04,-3760
20191019T11-04,-3794
20191019T10-04,-4029
20191019T09-04,-4157
20191019T08-04,-3827
20191019T07-04,-4400
20191019T06-04,-4518
20191019T05-04,-4788
20191019T04-04,-4715
20191019T03-04,-4729
20191019T02-04,-4949
20191019T01-04,-5364
20191019T00-04,-5883
20191018T23-04,-5566
20191018T22-04,-4608
20191018T21-04,-3965
20191018T20-04,-4104
20191018T19-04,-3994
20191018T18-04,-4029
20191018T17-04,-3809
20191018T16-04,-3974
20191018T15-04,-3876
20191018T14-04,-4525
20191018T13-04,-4597
20191018T12-04,-4493
20191018T11-04,-4183
20191018T10-04,-4575
20191018T09-04,-4683
20191018T08-04,-4538
20191018T07-04,-5118
20191018T06-04,-5351
20191018T05-04,-5929
20191018T04-04,-5732
20191018T03-04,-5849
20191018T02-04,-5433
20191018T01-04,-5119
20191018T00-04,-4541
20191017T23-04,-4293
20191017T22-04,-4348
20191017T21-04,-4718
20191017T20-04,-4329
20191017T19-04,-4396
20191017T18-04,-4077
20191017T17-04,-3261
20191017T16-04,-4472
20191017T15-04,-4043
20191017T14-04,-4080
20191017T13-04,-4544
20191017T12-04,-4771
20191017T11-04,-5130
20191017T10-04,-5204
20191017T09-04,-5017
20191017T08-04,-5657
20191017T07-04,-5658
20191017T06-04,-6405
20191017T05-04,-6976
20191017T04-04,-7230
20191017T03-04,-7256
20191017T02-04,-6665
20191017T01-04,-6324
20191017T00-04,-6416
20191016T23-04,-5567
20191016T22-04,-5397
20191016T21-04,-4593
20191016T20-04,-3803
20191016T19-04,-3303
20191016T18-04,-3665
20191016T17-04,-3638
20191016T16-04,-3664
20191016T15-04,-3339
20191016T14-04,-3242
20191016T13-04,-3280
20191016T12-04,-3258
20191016T11-04,-3434
20191016T10-04,-4008
20191016T09-04,-4249
20191016T08-04,-4191
20191016T07-04,-4547
20191016T06-04,-5314
20191016T05-04,-6041
20191016T04-04,-6277
20191016T03-04,-6166
20191016T02-04,-6208
20191016T01-04,-5208
20191016T00-04,-4921
20191015T23-04,-4140
20191015T22-04,-3947
20191015T21-04,-4172
20191015T20-04,-4106
20191015T19-04,-3967
20191015T18-04,-3878
20191015T17-04,-4199
20191015T16-04,-3096
20191015T15-04,-3446
20191015T14-04,-3229
20191015T13-04,-3568
20191015T12-04,-3859
20191015T11-04,-3982
20191015T10-04,-3736
20191015T09-04,-4694
20191015T08-04,-4135
20191015T07-04,-4676
20191015T06-04,-4869
20191015T05-04,-5783
20191015T04-04,-5370
20191015T03-04,-5831
20191015T02-04,-6277
20191015T01-04,-4972
20191015T00-04,-5689
20191014T23-04,-4457
20191014T22-04,-4804
20191014T21-04,-4639
20191014T20-04,-4287
20191014T19-04,-3870
20191014T18-04,-3623
20191014T17-04,-3905
20191014T16-04,-3360
20191014T15-04,-3919
20191014T14-04,-4109
20191014T13-04,-4125
20191014T12-04,-4590
20191014T11-04,-4770
20191014T10-04,-5123
20191014T09-04,-5310
20191014T08-04,-5497
20191014T07-04,-6659
20191014T06-04,-7369
20191014T05-04,-8133
20191014T04-04,-8042
20191014T03-04,-7580
20191014T02-04,-7258
20191014T01-04,-6179
20191014T00-04,-5743
20191013T23-04,-5575
20191013T22-04,-5488
20191013T21-04,-5255
20191013T20-04,-4871
20191013T19-04,-4802
