,Total interchange1
20191205T14-06,-165
20191205T13-06,-137
20191205T12-06,-151
20191205T11-06,-164
20191205T10-06,-135
20191205T09-06,-147
20191205T08-06,-363
20191205T07-06,-325
20191205T06-06,-180
20191205T05-06,-94
20191205T04-06,-101
20191205T03-06,-60
20191205T02-06,-56
20191205T01-06,-41
20191205T00-06,-86
20191204T23-06,-79
20191204T22-06,-133
20191204T21-06,-108
20191204T20-06,-94
20191204T19-06,-144
20191204T18-06,-139
20191204T17-06,-138
20191204T16-06,-123
20191204T15-06,-127
20191204T14-06,-116
20191204T13-06,-107
20191204T12-06,-126
20191204T11-06,-157
20191204T10-06,-482
20191204T09-06,-609
20191204T08-06,-790
20191204T07-06,-699
20191204T06-06,-588
20191204T05-06,-273
20191204T04-06,-429
20191204T03-06,-117
20191204T02-06,-105
20191204T01-06,-42
20191204T00-06,-90
20191203T23-06,-114
20191203T22-06,-369
20191203T21-06,-235
20191203T20-06,-68
20191203T19-06,-144
20191203T18-06,-109
20191203T17-06,-120
20191203T16-06,-78
20191203T15-06,-142
20191203T14-06,-115
20191203T13-06,-177
20191203T12-06,-141
20191203T11-06,-144
20191203T10-06,-155
20191203T09-06,-731
20191203T08-06,-1228
20191203T07-06,-1156
20191203T06-06,-656
20191203T05-06,-463
20191203T04-06,-88
20191203T03-06,-102
20191203T02-06,-99
20191203T01-06,-131
20191203T00-06,-116
20191202T23-06,-306
20191202T22-06,-274
20191202T21-06,-314
20191202T20-06,-259
20191202T19-06,-494
20191202T18-06,-206
20191202T17-06,-258
20191202T16-06,-288
20191202T15-06,-758
20191202T14-06,-833
20191202T13-06,-705
20191202T12-06,-326
20191202T11-06,-202
20191202T10-06,-178
20191202T09-06,-220
20191202T08-06,-423
20191202T07-06,-661
20191202T06-06,-676
20191202T05-06,-373
20191202T04-06,-136
20191202T03-06,-169
20191202T02-06,-171
20191202T01-06,-177
20191202T00-06,-185
20191201T23-06,-206
20191201T22-06,-210
20191201T21-06,-190
20191201T20-06,-171
20191201T19-06,-139
20191201T18-06,-143
20191201T17-06,-145
20191201T16-06,-91
20191201T15-06,-115
20191201T14-06,-71
20191201T13-06,-108
20191201T12-06,-62
20191201T11-06,-10
20191201T10-06,0
20191201T09-06,7
20191201T08-06,-5
20191201T07-06,-43
20191201T06-06,-111
20191201T05-06,-135
20191201T04-06,-212
20191201T03-06,-230
20191201T02-06,-242
20191201T01-06,-266
20191201T00-06,-294
20191130T23-06,-297
20191130T22-06,-179
20191130T21-06,-105
20191130T20-06,-124
20191130T19-06,-134
20191130T18-06,-139
20191130T17-06,-138
20191130T16-06,-89
20191130T15-06,-153
20191130T14-06,-165
20191130T13-06,-176
20191130T12-06,-184
20191130T11-06,-129
20191130T10-06,-150
20191130T09-06,-144
20191130T08-06,-135
20191130T07-06,-103
20191130T06-06,-21
20191130T05-06,-53
20191130T04-06,-176
20191130T03-06,-184
20191130T02-06,-250
20191130T01-06,-276
20191130T00-06,-304
20191129T23-06,-294
20191129T22-06,-205
20191129T21-06,-173
20191129T20-06,-106
20191129T19-06,-129
20191129T18-06,-144
20191129T17-06,-142
20191129T16-06,-149
20191129T15-06,-145
20191129T14-06,-68
20191129T13-06,-145
20191129T12-06,-190
20191129T11-06,-171
20191129T10-06,-150
20191129T09-06,-130
20191129T08-06,-157
20191129T07-06,-145
20191129T06-06,-73
20191129T05-06,-113
20191129T04-06,-197
20191129T03-06,-199
20191129T02-06,-194
20191129T01-06,-240
20191129T00-06,-245
20191128T23-06,-235
20191128T22-06,-202
20191128T21-06,-115
20191128T20-06,-155
20191128T19-06,-116
20191128T18-06,-181
20191128T17-06,-162
20191128T16-06,-134
20191128T15-06,-71
20191128T14-06,-92
20191128T13-06,-106
20191128T12-06,-113
20191128T11-06,-91
20191128T10-06,-27
20191128T09-06,-65
20191128T08-06,-124
20191128T07-06,-123
20191128T06-06,-167
20191128T05-06,-236
20191128T04-06,-217
20191128T03-06,-201
20191128T02-06,-200
20191128T01-06,-223
20191128T00-06,-273
20191127T23-06,-217
20191127T22-06,-155
20191127T21-06,-147
20191127T20-06,-144
20191127T19-06,-157
20191127T18-06,-229
20191127T17-06,-120
20191127T16-06,-61
20191127T15-06,-66
20191127T14-06,-84
20191127T13-06,-84
20191127T12-06,-10
20191127T11-06,-92
20191127T10-06,-16
20191127T09-06,-90
20191127T08-06,-58
20191127T07-06,-287
20191127T06-06,-374
20191127T05-06,-350
20191127T04-06,-356
20191127T03-06,-353
20191127T02-06,-332
20191127T01-06,-352
20191127T00-06,-185
20191126T23-06,-229
20191126T22-06,-206
20191126T21-06,-77
20191126T20-06,-73
20191126T19-06,-106
20191126T18-06,-156
